TYPE,NAME,,PROPERTIES:,Definition,,
Structure,ICB,,,,,!
Industry,Technology,,Technology 10,,,
Sector,Technology,,1010,,,
Sector,Software and Compuer Services,,101010,,,
Subsector,Computer Services,,10101010,"Companies that provide consulting or integration services to other businesses relating to information technology. Includes providers of computer-system design, systems integration, network and systems operations, cloud computing, distributed ledger technology (DLT) consulting and integration, data management and storage, repair services and technical support.",,!
Subsector,Software,,10101015,"Publishers and distributors of computer software for home or corporate use. Excludes computer game producers, which are classified under Electronic Entertainment.",,!
Subsector,Consumer Digital Services,,10101020,"Companies involved in digital platforms that primarily generate revenue from advertising, content delivery and other virtual products for consumers. To a lesser extent they generate subscription fee revenue through related services offered by the platform and/or by the advertisers to utilize data content and customer insight.",,!
Sector,Technology Hardware and Equipment,,101020,,,!
Subsector,Semidcondustors,,10102010,"Producers and distributors of semiconductors and other integrated chips, including other products related to the semiconductor industry, such as semiconductor capital equipment and motherboards.  Excludes makers of printed circuit boards, which are classified under Electronic Components",,!
Subsector,Electronic Components,,10102015,"Companies involved in the application of high-technology parts to finished products, including printed circuit boards. Excludes communications-related equipment, which are classified under Telecommunications Equipment Subsector and technology parts for consumer electronics, which are classified under Electrical Components.",,!
Subsector,Production Technology Equipment,,10102020,"Manufactures of high-technology tools and/or equipments that are used in the creation of semiconductors, photonics, wafers, and other high-technology components.",,!
Subsector,Computer Hardware,,10102030,"Manufacturers and distributors of computers, servers, mainframes, workstations and other computer hardware and subsystems, such as mass-storage drives, mice, keyboards and printers. Companies in this Sector can provide diverse applications for consumer and commercial use. Including companies providing computing hardware for cryptocurrency mining.",,!
Subsector,Electronic Office Equipment,,10102035,"Manufacturers and distributors of electronic office equipment, including photocopiers and fax machines.",,!
Industry,Telecommunications,,Telecommunication 15,,,!
Sector,Telecommunications,,1510,,,!
Sector,Telecommunications Equipment,,151010,,,!
Subsector,Telecommunications Equipment,,15101010,"Makers and distributors of high-technology communication products, including mobile telephones, fibers optics, switching devices, local and wide-area networks, teleconferencing equipment and connectivity devices for computers, including hubs and routers.",,!
Sector,Telecommunications Service Providers,,151020,,,!
Subsector,Cable Television Services,,15102010,"Companies that primarily distribute media content through their own cable and wireless network infrastructure, such as wired cable, fiber-optic, and satellite networks.",,!
Subsector,Telecommunications Services,,15102015,"Providers of mobile and fixed-line telephone services, paging services, and VOIP providers. Including companies that own and operate telecommunication assets. Telecommunication Services companies can also provide supplemental services such as direct internet access, VPN services, colocation services and transit services.",,!
Industry,Health Care,,Health Care 20,,,!
Sector,Health Care,,2010,,,!
Sector,Health Care Providers,,201010,,,!
Subsector,Health Care Facilities,,20101010,"Owners and operators of primary healthcare property, community hospitals, retirement homes, nursing homes, and related medical businesses.",,!
Subsector,Health Care Management Services,,20101020,"Companies that offers managed health care benefits and services (e.g., Health Management Organizations (HMO) including state sponsored programs",,!
Subsector,Health Care Services,,20101025,"Companies that provide various specialized disease management services to physicians, health plans, and hospitals. Primary business lines in this category can also include general consultation services, paramedical services, operation of health portals and distribution of health food products.",,!
Subsector,Health Care: Misc.,,20101030,"Includes Healthcare companies that are not classified in the Healthcare Facilities, Healthcare Management Services or Healthcare Services",,!
Sector,Medical Equipment and Services ,,201020,,,!
Subsector,Medical Equipment,,20102010,"Manufacturers and distributors of medical devices such as MRI scanners, prosthetics, pacemakers, X-ray machines and other non-disposable medical devices.",,!
Subsector,Medical Supplies,,20102015,"Manufacturers and distributors of medical supplies used by health care providers and the general public. Includes makers of contact lenses, eyeglass lenses, bandages and other disposable medical supplies.",,!
Subsector,Medical Services,,20102020,Companies that operate and manage medical labs and testing services.,,!
Sector,Pharmaceuticals and Biotechnology,,201030,,,!
Subsector,Biotechnology,,20103010,"Companies engaged in research into and development of biological substances for the purposes of drug discovery and diagnostic development, and which derive the majority of their revenue from either the sale or licensing of these drugs and diagnostic tools.",,!
Subsector,Pharmaceuticals,,20103015,"Manufacturers of prescription or over-the-counter drugs, such as aspirin, cold remedies and birth control pills. Includes vaccine producers but excludes vitamin producers, which are classified under Food Products.",,!
Subsector,Cannabis Producers,,20103020,"Companies that engage in cannabis cultivation, cannabis distribution including dispensaries, the processing and distribution of cannabis plants, and the creation of cannabis derivative products.  Companies that primarily engage in the research, development and manufacturing of cannabis (THC/CBD) based drugs are classified in the Biotechnology or the Pharmaceuticals Subsector.",,!
Industry,Financials,,Financials 30,,,!
Sector,Banks,,3010,,,!
Sector,Banks,,301010,,,!
Subsector,Banks,,30101010,Primary activities involve retail banking and/or commercial banking. Attracts deposits from the general public and provide various financial services.,,!
Sector,Financial Services,,3020,,,!
Sector,Finance and Credit Services,,302010,,,!
Subsector,Consumer Lending,,30201020,"Companies that provide financial services to consumers including payday loans, student loans, automobile loans, etc.",,!
Subsector,Financial Data Providers,,30201025,Companies provide financial decision support tools for investment institutions. Including financial database operators and index data providers.,,!
Sector,Investment Banking and Brokerage Services,,30201030,,,!
Subsector,Diversified Financial Services,,302020,"Companies providing a diversified range of services such as  investment banking, trading, and asset management. Diversified Investment Holding companies engaged in acquiring equity stake of listed securities are also classified in this Sector.",,!
Subsector,Asset Managers and Custodians,,30202000,"Companies that provide custodial, trustee and other related fiduciary services. i.e. mutual fund and private investment management. Also includes companies engaged in private equity and venture capital.",,!
Sector,Mortgage and Real Estate Investment Trusts,,30202010,,,!
Subsector,Mortgage REITs: Diversified,,30202015,Mortgage REITs that invest in a combination of segments with no specific dominance over one or the other,,!
Subsector,Mortgage REITs: Commercial,,302030,"REITs primarily involved in lending money to commercial real estate owners and operators directly or indirectly through the purchase of mortgages, mortgage backed securities and other mortgage related assets",,!
Subsector,Mortgage REITs: Residential,,30203000,"REITs primarily involved in lending money to residential real estate owners and operators directly or indirectly through the purchase of mortgages, mortgage backed securities and other mortgage related assets",,!
Sector,Closed end Investments,,30203010,,,!
Subsector,Closed End Investments,,30203020,"Corporate closed-ended investment entities identified under distinguishing legislation, such as investment trusts and venture capital trusts.",,!
Sector," Open End
and Miscellaneous
Investment Vehicles",,302040,,,!
Subsector,Open End and Miscellaneous Investment Vehicles,,30204000,"Cash shells, Special Purpose Acquisition Company (SPACs), Non corporate investment entities such as open-ended funds, unit trusts and ETFs and currency funds and split capital trusts.",,!
Sector,Financial Servicess,,302050,,,!
Sector,Finance and Credit Services,,30205000,,,!
Subsector,Mortgage Finance,,3030,"Companies that provide mortgages, mortgage insurance and other related services",,!
Sector,Fiancial Services,,303010,,,!
Sector,Investment Banking and Brokerage Services,,30301010,,,!
Subsector,Investment Services,,303020,"Companies that provide trading and brokerage services for financial assets such as equities, commodities, debts, currency, cryptocurrency. Also includes the operators of stock, currency, and other financial market exchanges.",,!
Sector,Insurance,,30302010,,,!
Sector,Life Insurance,,30302015,,,!
Subsector,Life Insurance,,30302020,Companies engaged principally in life and health insurance.,,!
