ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Definition
5db04224-5886-41af-a1d9-256f6efb3df6,Layer,,ICB,,,,,,,,
9a65405d-2433-4982-a7f4-e2f239985434,Object,5db04224-5886-41af-a1d9-256f6efb3df6,Technology,,,,,,,,
08509820-6463-4dc3-a09b-8bc7588d4350,Group,9a65405d-2433-4982-a7f4-e2f239985434,Technology,,,,,,,,
5a057f4e-593a-4f47-8857-097317e803fd,Group,08509820-6463-4dc3-a09b-8bc7588d4350,Software and Compuer Services,,,,,,,,
bb3f770d-cc5e-4f3f-a682-bbb032789813,Attribute,5a057f4e-593a-4f47-8857-097317e803fd,Computer Services,,,,,,,,"Companies that provide consulting or integration services to other businesses relating to information technology. Includes providers of computer-system design, systems integration, network and systems operations, cloud computing, distributed ledger technology (DLT) consulting and integration, data management and storage, repair services and technical support."
9ea71547-7be6-459e-89d8-7b39d504eb93,Attribute,5a057f4e-593a-4f47-8857-097317e803fd,Software,,,,,,,,"Publishers and distributors of computer software for home or corporate use. Excludes computer game producers, which are classified under Electronic Entertainment."
a83c9f42-2f50-4da6-b935-b3bcb58f5c59,Attribute,5a057f4e-593a-4f47-8857-097317e803fd,Consumer Digital Services,,,,,,,,"Companies involved in digital platforms that primarily generate revenue from advertising, content delivery and other virtual products for consumers. To a lesser extent they generate subscription fee revenue through related services offered by the platform and/or by the advertisers to utilize data content and customer insight."
9a632a7b-66bb-48c2-8c5e-6fa4903937f2,Group,08509820-6463-4dc3-a09b-8bc7588d4350,Technology Hardware and Equipment,,,,,,,,
17128b29-fb9c-4414-bb2f-d18f7799666e,Attribute,9a632a7b-66bb-48c2-8c5e-6fa4903937f2,Semidcondustors,,,,,,,,"Producers and distributors of semiconductors and other integrated chips, including other products related to the semiconductor industry, such as semiconductor capital equipment and motherboards.  Excludes makers of printed circuit boards, which are classified under Electronic Components"
794cc7da-a9f5-461a-8a4c-e18f08aa146e,Attribute,9a632a7b-66bb-48c2-8c5e-6fa4903937f2,Electronic Components,,,,,,,,"Companies involved in the application of high-technology parts to finished products, including printed circuit boards. Excludes communications-related equipment, which are classified under Telecommunications Equipment Subsector and technology parts for consumer electronics, which are classified under Electrical Components."
