ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Level 0 Group,Code,Mapping ID
6ae6f75c-37b3-4190-851d-686b114eeb81,Layer,,ISIC Rev 4 (2008)- UN,,,,,,,,0,ISIC Rev 4,,,
19200436-49f7-4ff8-b3b6-d9aafc8e01fc,Object,6ae6f75c-37b3-4190-851d-686b114eeb81,"Agriculture, forestry and fishing",,,,,,,,1,ISIC Rev 4,A,A,A
120602d6-cf50-4841-8928-4bc4e578eba9,Group,19200436-49f7-4ff8-b3b6-d9aafc8e01fc,"Crop and animal production, hunting and related service activities",,,,,,,,2,ISIC Rev 4,A,1,1
59f03aec-2eb7-498f-81c7-91276cb146d8,Group,120602d6-cf50-4841-8928-4bc4e578eba9,Growing of non-perennial crops,,,,,,,,3,ISIC Rev 4,,11,11
0edcf9c4-c70a-4f91-a3be-58fa77d49b11,Attribute,59f03aec-2eb7-498f-81c7-91276cb146d8,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,,,,4,ISIC Rev 4,,111,111
acc11b4b-8ac7-41e1-b480-0d8568ee66e1,Attribute,59f03aec-2eb7-498f-81c7-91276cb146d8,Growing of rice,,,,,,,,4,ISIC Rev 4,,112,112
ea9bf897-1d51-4092-9bf2-2e08b0deb848,Attribute,59f03aec-2eb7-498f-81c7-91276cb146d8,"Growing of vegetables and melons, roots and tubers",,,,,,,,4,ISIC Rev 4,,113,113
58916e31-3d57-449a-aca1-321cee130ffc,Attribute,59f03aec-2eb7-498f-81c7-91276cb146d8,Growing of sugar cane,,,,,,,,4,ISIC Rev 4,,114,114
15f47ce6-437b-4e4a-b45b-983670382e95,Attribute,59f03aec-2eb7-498f-81c7-91276cb146d8,Growing of tobacco,,,,,,,,4,ISIC Rev 4,,115,115
49bd6262-1ae6-4c7d-a9c9-915245dd7e65,Attribute,59f03aec-2eb7-498f-81c7-91276cb146d8,Growing of fibre crops,,,,,,,,4,ISIC Rev 4,,116,116
ea18abfd-e732-4318-86c1-0381cedf8c33,Attribute,59f03aec-2eb7-498f-81c7-91276cb146d8,Growing of other non-perennial crops,,,,,,,,4,ISIC Rev 4,,119,119
