ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,description,Code Group,Code,Mapping ID,Full Code,NACE Rev 1.1 Code,NACE Rev 1.1 desc,Level 0 Group,id,NACE rev 1 Source,NACE Rev 2 Target,Updates
710862d1-b024-4c85-8c02-e0b810f77fd8,Layer,,NACE Rev. 2 (2007) - EU,,,,,,,,0,Rev.2 2007,NACE Rev 2,,,,,,,,,,
ee6b3574-5cc4-4dc3-a929-34fb59f043e1,Object,710862d1-b024-4c85-8c02-e0b810f77fd8,"AGRICULTURE, FORESTRY AND FISHING",,,,,,,,1,"This section includes the exploitation of vegetal and animal natural resources, comprising the activities of growing of crops, raising and breeding of animals, harvesting of timber and other plants, animals or animal products from a farm or their natural habitats.",NACE Rev 2,A,A,A,N/A,N/A,,,,,
8b704145-82cc-4ea8-8010-adb9961b5311,Group,ee6b3574-5cc4-4dc3-a929-34fb59f043e1,"Crop and animal production, hunting and related service activities",,,,,,,,2,"This division includes two basic activities, namely the production of crop products and production of animal products, covering also the forms of organic agriculture, the growing of genetically modified crops and the raising of genetically modified animals. This division includes growing of crops in open fields as well in greenhouses.
 
Group 01.5 (Mixed farming) breaks with the usual principles for identifying main activity. It accepts that many agricultural holdings have reasonably balanced crop and animal production, and that it would be arbitrary to classify them in one category or the other.",NACE Rev 2,01,1,A01,N/A,N/A,A,,,,
2f093365-88b7-4a3c-bb64-2e6bf03752ee,Group,8b704145-82cc-4ea8-8010-adb9961b5311,Growing of non-perennial crops,,,,,,,,3,,NACE Rev 2,01.1,1.1,A01.1,N/A,N/A,A,,,,
e9467626-0049-41e8-8153-4c35e6812409,Attribute,2f093365-88b7-4a3c-bb64-2e6bf03752ee,"Growing of cereals (except rice), leguminous crops and oil seeds","0a65063a-30a1-499b-b43d-1d1cf9b975bd,9f97d4d0-3337-4344-99c8-423248f0dc97",,,,,,,4,,NACE Rev 2,01.11,1.11,A01.11,1.11,Growing of cereals and other crops n.e.c.,A,,,,
eaeea58d-33e6-4fcc-a9f0-84f0bb26b772,Attribute,2f093365-88b7-4a3c-bb64-2e6bf03752ee,Growing of rice,0a65063a-30a1-499b-b43d-1d1cf9b975bd,,,,,,,4,,NACE Rev 2,01.12,1.12,A01.12,1.11,Growing of cereals and other crops n.e.c.,A,,,,
86b6deb5-132c-4713-a66f-896ea6794b3c,Attribute,2f093365-88b7-4a3c-bb64-2e6bf03752ee,"Growing of vegetables and melons, roots and tubers","0a65063a-30a1-499b-b43d-1d1cf9b975bd,9f97d4d0-3337-4344-99c8-423248f0dc97",,,,,,,4,,NACE Rev 2,01.13,1.13,A01.13,1.11,Growing of cereals and other crops n.e.c.,A,,,,
3dbed860-b84a-497e-bc81-d7ed4977dde5,Attribute,2f093365-88b7-4a3c-bb64-2e6bf03752ee,Growing of sugar cane,0a65063a-30a1-499b-b43d-1d1cf9b975bd,,,,,,,4,,NACE Rev 2,01.14,1.14,A01.14,1.11,Growing of cereals and other crops n.e.c.,A,,,,
12b42374-0432-4da7-a3b0-6cc133beb054,Attribute,2f093365-88b7-4a3c-bb64-2e6bf03752ee,Growing of tobacco,0a65063a-30a1-499b-b43d-1d1cf9b975bd,,,,,,,4,,NACE Rev 2,01.15,1.15,A01.15,1.11,Growing of cereals and other crops n.e.c.,A,,,,
2ea29920-718c-4990-bc71-0c481df1cc77,Attribute,2f093365-88b7-4a3c-bb64-2e6bf03752ee,Growing of fibre crops,0a65063a-30a1-499b-b43d-1d1cf9b975bd,,,,,,,4,,NACE Rev 2,01.16,1.16,A01.16,1.11,Growing of cereals and other crops n.e.c.,A,,,,
abc5b9d4-0be3-486f-8a8f-09775d3aea5f,Attribute,2f093365-88b7-4a3c-bb64-2e6bf03752ee,Growing of other non-perennial crops,"0a65063a-30a1-499b-b43d-1d1cf9b975bd,9f97d4d0-3337-4344-99c8-423248f0dc97",,,,,,,4,,NACE Rev 2,01.19,1.19,A01.19,1.11,Growing of cereals and other crops n.e.c.,A,,,,
46a116b9-30b1-4ad4-9d26-c40cd46ee830,Group,8b704145-82cc-4ea8-8010-adb9961b5311,Growing of perennial crops,,,,,,,,3,,NACE Rev 2,01.2,1.2,A01.2,N/A,N/A,A,,,,
7cfa9a98-5ead-47f4-af73-840b2e24df09,Attribute,46a116b9-30b1-4ad4-9d26-c40cd46ee830,Growing of grapes,897428ed-6202-426c-914a-a93be23013c1,,,,,,,4,,NACE Rev 2,01.21,1.21,A01.21,1.13,"Growing of fruit, nuts, beverage and spice crops",A,,,,
a90295b2-8763-43e3-98c2-6767fe52338f,Attribute,46a116b9-30b1-4ad4-9d26-c40cd46ee830,Growing of tropical and subtropical fruits,897428ed-6202-426c-914a-a93be23013c1,,,,,,,4,,NACE Rev 2,01.22,1.22,A01.22,1.13,"Growing of fruit, nuts, beverage and spice crops",A,,,,
