ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,PURPOSE,GUIDANCE
342e7ec8-7e3e-4a33-bcc4-86747d2a855d,Layer,,CDSB,,,,,,,,,
3354f589-3472-47b2-a7c3-d8e133127bfb,Object,342e7ec8-7e3e-4a33-bcc4-86747d2a855d,REQ-01 Governance,,,,,,,,,
8bb4dbf6-376b-468b-b192-9a1f5b881281,Attribute,3354f589-3472-47b2-a7c3-d8e133127bfb,REQ-01,,,,,,,,"Disclosures shall describe the governance of environmental and social policies, strategies and information.","This requirement is designed to demonstrate transparency about and accountability for the organisation’s oversight of environmental and social policies, strategies, and information. Successful environmental and social policies require the support and leadership of an organisation’s Board, or highest governing body"
67277f47-98f6-4c9f-95b0-4086dc4683a3,Object,342e7ec8-7e3e-4a33-bcc4-86747d2a855d,"REQ-02 Management’s environmental and social policies, strategies and targets",,,,,,,,,
b646ed10-2052-4643-b021-2d9bcbdba86b,Attribute,67277f47-98f6-4c9f-95b0-4086dc4683a3,REQ-02,,,,,,,,"Disclosures shall report management’s environmental and social policies, strategies, and targets, including the indicators, plans and timelines used to assess performance.","To facilitate a complete assessment by readers of the rationale, quality and efficacy of the organisation’s environmental and social policies, strategies and targets and an understanding of the indicators and timelines used to manage and assess performance."
455fb5d8-4fd3-4c52-96ba-033e575e7840,Object,342e7ec8-7e3e-4a33-bcc4-86747d2a855d,REQ-03 Business risks and opportunities,,,,,,,,,
ed6734ef-0433-4d68-903b-38daff4b518c,Attribute,455fb5d8-4fd3-4c52-96ba-033e575e7840,REQ-03,,,,,,,,"Disclosures shall explain the material current and anticipated environmental and social risks and opportunities affecting the organisation and the processes used to identify, assess and prioritise the risks and opportunities.",To inform readers of the organisation’s material environmental and social risks and opportunities
45d67983-48ed-4395-9cd1-f910e3e86e37,Object,342e7ec8-7e3e-4a33-bcc4-86747d2a855d,REQ-04 Sources of environmental and social impact,,,,,,,,,
9294ee55-e402-41c3-ba81-02d6ecd458bd,Attribute,45d67983-48ed-4395-9cd1-f910e3e86e37,REQ-04,,,,,,,,"Quantitative and qualitative results, together with the methodologies used to prepare them, shall be reported to reflect material sources of environmental and social impact.","To report, using quantitative and qualitative results, the degree to which material sources of environmental and social impact have arisen over the reporting period and to cite methodologies used for the preparation of results."
ae629961-c7c1-48d0-ab42-f9343ce6e29a,Object,342e7ec8-7e3e-4a33-bcc4-86747d2a855d,REQ-05 Performance and comparative analysis,,,,,,,,,
