ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description,Additional Info,Quant_Qual
e352d287-9e18-4b4b-9cda-bc5a8dc3b4d7,Layer,,"ESRS G1 - Governance, Risk Management and Internal control",,,,,,,,,,
c7b4d3e0-7487-41d2-b529-b82f8ccee88b,Object,e352d287-9e18-4b4b-9cda-bc5a8dc3b4d7,"Strategy and business model, governance and organisation, Impacts, risks and opportunities",,,,,,,,,,
a6639fd5-5790-4b83-86fd-7ce0c30fc135,Attribute,c7b4d3e0-7487-41d2-b529-b82f8ccee88b,G1-1 – Governance structure and composition,,,,,,,,The undertaking shall provide information on its governance structure and composition.,"The disclosure required by paragraph 12 shall include: (a) a description of the structure of its governance body and the roles and key responsibilities of each of its committees; (b) identity of members of the governance body; (c) classification of members between executive and non-executive; (d) independence of members; (e) tenure of members on the governance body; (f) for each member the number of significant positions and commitments, and the nature of the commitments; (g) representation of stakeholder groups; and (h) competencies relevant to the sector, products and geographic locations of the undertaking and associated regulation.",Qualitative
ae545bd6-9150-437a-8873-be5c2cd98575,Object,e352d287-9e18-4b4b-9cda-bc5a8dc3b4d7,"Policies, targets, action plans and resources",,,,,,,,,,
361d7477-8cdf-4f14-9389-10b631b944f8,Attribute,ae545bd6-9150-437a-8873-be5c2cd98575,G1-2 – Corporate governance code or policy,,,,,,,,"The undertaking shall disclose the corporate governance code, policy or practices that determine the function of its administrative, management or supervisory bodies.","The disclosure required by paragraph 15 shall include the following information: (a) the corporate governance code to which the undertaking is subject or which the undertaking may have voluntarily decided to apply, with an indication of where the relevant texts are publicly available; (b) all relevant information about the corporate governance practices applied over and above the requirements of national law, including details of where the undertaking's corporate governance practices are publicly available.",Qualitative
02c6d11c-ceac-4ae5-9a66-393a00c6739e,Attribute,ae545bd6-9150-437a-8873-be5c2cd98575,G1-3 – Nomination process,,,,,,,,"The undertaking shall provide information about the nomination and selection processes for its administrative, management and supervisory bodies.","The disclosure required by paragraph 19 shall include the following information: (a) a description of the nomination and selection processes for the administrative, management and supervisory bodies and, where applicable, their committees; (b) a description of the criteria used for nominating and selecting the members of the administrative, management and supervisory bodies, including whether and how: i. stakeholders (including shareholders) are involved in the nomination process; ii. diversity is considered in the selection process; iii. independence is considered in the selection process; and iv. competencies relevant to the sector of the undertaking are considered in the selection process.",Qualitative
4b77cd8d-72a8-47c9-9153-6ad0a9950a12,Attribute,ae545bd6-9150-437a-8873-be5c2cd98575,G1-4 – Diversity policy,,,,,,,,"The undertaking shall provide information on the diversity policy applied in relation to its administrative, management and supervisory bodies.","The disclosure required by paragraph 22 shall include the following information: (a) a description of the diversity policy applied in relation to the undertaking's its administrative, management and supervisory bodies with regard to each of the following: i. gender, ii. age, iii. minority or vulnerable groups, iv. educational and professional backgrounds, and v. other aspects where relevant. (b) the objectives of that diversity policy. (c) how the diversity policy has been implemented. The disclosure shall also specify the following:
(a) whether there are legal and regulatory requirements that mandate diversity
representation in the composition of the undertaking’s administrative,
management and supervisory bodies, and if so, a reference to those
requirements;
(b) whether the diversity representation implemented in the composition of the
undertaking’s administrative, management and supervisory bodies is over or
above any relevant legal and regulatory requirements; and
(c) any targets set, mandated or voluntary, for each diversity classification in the
composition of the undertaking’s its administrative, management and supervisory
bodies and progress made against those targets.",Qualitative
e6043fa8-6ecf-4b25-965d-d5ca128f2e0c,Attribute,ae545bd6-9150-437a-8873-be5c2cd98575,G1-5 – Evaluation process,,,,,,,,"The undertaking shall describe the process, if any, followed for evaluating the performance of its administrative, management and supervisory bodies in overseeing the management of the undertaking.","The disclosure required by paragraph 27 shall include a description of: (a) the process followed for evaluating the performance of its administrative, management and supervisory bodies; (b) whether the evaluation is independent or not, and its frequency; and (c) the actions taken in response to the evaluation of the performance of the administrative, management and supervisory bodies.",Qualitative
fc0956b7-672e-4581-bb59-1826f77b6ee4,Attribute,ae545bd6-9150-437a-8873-be5c2cd98575,G1-6 – Remuneration policy,,,,,,,,"The undertaking shall describe the policy used for the remuneration of its administrative, management and supervisory bodies","The disclosure required by paragraph 32 shall address specifically the following types of remuneration: (a) fixed pay and variable pay, including performance-based pay, equity-based pay, bonuses, and deferred or vested shares; (b) sign-on bonuses or recruitment incentive payments; (c) termination payments; (d) clawbacks; and (e) retirement benefits.",Qualitative
cb1c0242-09c7-49a9-b902-ad782f94eed3,Attribute,ae545bd6-9150-437a-8873-be5c2cd98575,G1-7 – Risk management processes,,,,,,,,"The undertaking shall provide information on its risk management processes, with regards to risk arising for the undertaking and for the stakeholders.","The disclosure required by paragraph 34 shall include information on the risk management process, in terms of: (a) the undertaking’s risk assessment approach;
(b) the risk prioritisation methodology;
(c) the scope, main features and components of its risk management processes,
including a description of how the undertaking integrates the findings of its risk
assessment for the key risks into relevant internal functions and processes;
(d) a description of the periodic reporting on risk management to the administrative,
management and supervisory body.",Qualitative
11ea37b2-1a31-402d-b8f5-041fa2fe5262,Attribute,ae545bd6-9150-437a-8873-be5c2cd98575,G1-8 – Internal control processes,,,,,,,,"The undertaking shall provide information on its internal control processes, including in relation to the sustainability reporting process.","The disclosure required by paragraph 38 shall include information on: (a) the scope, main features and components of the undertaking’s internal control process; (b) a description of the periodic reporting on internal control processes to the administrative, management and supervisory bodies; (c) the main features of the undertaking's internal control systems over the reporting process, including the process for reviewing and approving the information included in the sustainability reporting by the administrative, management and supervisory bodies",Qualitative
fcefa319-d0b2-443f-a977-3781e36dd4eb,Object,e352d287-9e18-4b4b-9cda-bc5a8dc3b4d7,Performance measurement,,,,,,,,,,
3800017a-91df-4919-8fa0-956d6e67ecaa,Attribute,fcefa319-d0b2-443f-a977-3781e36dd4eb,"G1-9 – Composition of the administrative, management and supervisory bodies",,,,,,,,"The undertaking shall provide information about the composition of its administrative, supervisory and management bodies.",The information in paragraph 41 shall include: (a) percentage of independent shareholder-elected members; (b) percentage of each of the following diversity classifications: i. gender; ii. age group; iii. any other relevant diversity indicators.,Qualitative
d7a107f1-b772-45c4-820b-5727789d325b,Attribute,fcefa319-d0b2-443f-a977-3781e36dd4eb,G1-10 – Meetings and attendance rate,,,,,,,,"The undertaking shall provide information about the number of meetings and the attendance rate for its administrative, management and supervisory bodies and committees.","The disclosure required by paragraph 46 shall include the following information: (a) the number of meetings of the undertaking’s administrative, management and supervisory bodies and their committees in the reporting period; and (b) the number of members who participated at each meeting in the reporting period.",Qualitative
efe17875-60a4-4e2d-86e6-549a8ca4f359,Layer,,ESRS G2 - Business Conduct,,,,,,,,,,
0e5a439c-a308-4f44-9c7d-5ad4cfd05b13,Object,efe17875-60a4-4e2d-86e6-549a8ca4f359,"Strategy and business model, governance and organisation, impacts, risks and opportunities",,,,,,,,,,
5cf9823d-1a2d-4f6e-876d-e9d1ac1d52c7,Attribute,0e5a439c-a308-4f44-9c7d-5ad4cfd05b13,G2-1– Business conduct culture,,,,,,,,"The undertaking shall disclose its initiatives to establish, develop and promote a business conduct culture.","The undertaking shall consider the following aspects when determining its disclosure under paragraph 16: (a) the business conduct subjects that are taken into consideration and discussed by the administrative, management and supervisory bodies and with which frequency; (b) how the undertaking’s leadership provide direction to promote a business conduct culture (i.e., “tone from the top” and “tone from the middle”); (c) the business conducts topics that are promoted within the business conduct culture; (d) specific incentives for its employees to foster and encourage its business conduct culture; (e) the communication of the business conduct culture and/or values; and (f) whether the undertaking has specific contractual clauses with its value chain on
business conduct.",Qualitative
236150ab-bef5-4272-99bd-a694eaf6b523,Object,efe17875-60a4-4e2d-86e6-549a8ca4f359,Policies and targets,,,,,,,,,,
66d5f87d-d235-4ebe-be0b-fe6570e1868e,Attribute,236150ab-bef5-4272-99bd-a694eaf6b523,G2-2 – Policies and targets on business conduct,,,,,,,,The undertaking shall provide information about its policies with respect to business conduct matters.,"The disclosure required under paragraph 18 shall cover the following aspects in relation to each of the matters mentioned above: (a) a description of the mechanism for reporting concerns about unethical or unlawful behaviour; (b) where the undertaking has no policies on anti-corruption or anti-bribery consistent with the United Nations Convention against Corruption2 , it shall state this; (c) the undertaking’s safeguards of its employees for reporting irregularities including whistleblowing protection; (d) where the undertaking has no policies on the protection of whistle-blowers3 , it shall state this; (e) whether the undertaking is committed to investigate business conduct (including corruption or bribery) incidents promptly, independently and objectively; (f) a description of how associated incidents in respect of contracts and relationships within the undertaking’s value chain are handled; and (g) the undertaking’s strategy for training within the organisation on business conduct, including target audience, frequency and depth of coverage.",Qualitative
8e33736a-8115-4f82-a013-abc524b35271,Object,efe17875-60a4-4e2d-86e6-549a8ca4f359,Action plans and dedicated resources,,,,,,,,,,
a39e530b-2fcb-4126-bc89-1e5ccb60345f,Attribute,8e33736a-8115-4f82-a013-abc524b35271,G2-3 – Prevention and detection of corruption and bribery,,,,,,,,"The undertaking shall provide information about its system to prevent and detect, investigate, and respond to allegations or incidents relating to corruption and bribery.","The disclosure required under paragraph 22 shall include the following information: (a) an overview of the procedures in place to prevent, detect and address allegations or incidents of corruption or bribery; (b) whether the investigators or investigating committee are separate from the chain of management involved in the matter; (c) the number of reported allegations of corruption or bribery received through whistleblowing channels; (d) the number of internal investigations launched in response to allegations or incidents relating to corruption or bribery; and (e) the system to report outcomes to senior management and the administrative, management and supervisory bodies where relevant.",Qualitative
7d4fbad4-7ea1-490d-ac4d-b97ed9735c6b,Attribute,8e33736a-8115-4f82-a013-abc524b35271,G2-4 – Anti-competitive behaviour prevention and detection,,,,,,,,"The undertaking shall provide information about its system to prevent and detect, investigate, and respond to allegations or incidents relating to anticompetitive behaviour.",The disclosure required by paragraph 27 shall include the same requirements as per ESRS G2-3 but referred to the topic of allegations or incidents of anti-competitive behaviour.,Qualitative
b9002cd2-c660-4920-a5cc-0a67431071ea,Object,efe17875-60a4-4e2d-86e6-549a8ca4f359,Perfromance Measures,,,,,,,,,,
