ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,Guidance,Title,Description
dc78c85a-756b-413a-8a9d-11f9456b2095,Layer,,EBA Pillar 3,,,,,,,,,,,
7e55e7e7-4b99-4187-84c3-320c55899409,Object,dc78c85a-756b-413a-8a9d-11f9456b2095,Table 1: Qualitative information on Environmental risk,,,,,,,,,,,
d4ed9129-27b1-4d2d-a491-24e36928afd8,Group,7e55e7e7-4b99-4187-84c3-320c55899409,Business strategy and processes,,,,,,,,,,,
756a7aec-9a34-430e-87cc-0729184ac5c2,Attribute,d4ed9129-27b1-4d2d-a491-24e36928afd8,(a),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), points (a) and (e) CRR an explanation of how institution business environment, business model, strategy and processes, and financial planning integrate risks stemming from environmental factors (i.e. environmental risks) and how these evolve over time given changing technology, policy framework, business environment, stakeholder (e.g. consumers and investors) preferences, and changes in the physical environment itself.",,
a1787fb4-b36a-4e94-9368-739bb81e95ce,Attribute,d4ed9129-27b1-4d2d-a491-24e36928afd8,(b),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1) points (a), (c), (d), (e) and (f) CRR, the objectives, targets and limits (e.g. in terms of green asset ratio – GAR and BTAR –, GHG emissions, etc) that institutions set for the assessment and management of environmental risks, and institutions processes for the setting of these objectives, targets and limits. An explanation of the linkages of these objectives, targets and limits to the current international and European policy framework and benchmarks available, for example, Paris Climate Accords; European Green Deal; Nonfinancial Reporting Directive (NFRD); European Commission’s Guidelines on non-financial reporting - Supplement on reporting climate-related information; Task Force on Climate-related Financial Disclosures (TCFD) Recommendations; United Nations Environment Programme Finance Initiative (UNEP FI); the Global Reporting Initiative Sustainability Reporting Standards, the United Nations’ Principles for Responsible Investment (UNPRI).",,
6f280482-a472-4f96-b39d-84e53c748c1d,Attribute,d4ed9129-27b1-4d2d-a491-24e36928afd8,(c),,,,,,,,Qualitative,"In accordance with Article 449a, the evolution of the institution’s current and future (planned) investment in environmentally sustainable economic activities and EU Taxonomy-aligned sectors/activities in accordance with the environmental objectives (including climate change objectives, e.g, in terms of GAR and BTAR) set out in Article 9 of Regulation (EU) 2020/8522. Institutions current and future (planned) investment activities towards environmental objectives may depend on their own approach and definitions. Institutions shall include these approaches in their disclosures.",,
cd4c818c-79fd-46a1-96c1-ac7250a83df9,Attribute,d4ed9129-27b1-4d2d-a491-24e36928afd8,(d),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (d) CRR, the measures that institutions take to mitigate risks associated with environmental factors, including understanding the counterparty’s capacity to manage environmental risks and entering into a dialogue with counterparties to mitigate such environmental risks.",,
fbe05847-a947-4e28-add6-df1840a625ad,Group,7e55e7e7-4b99-4187-84c3-320c55899409,Governance,,,,,,,,,,,
c341d4f4-b1f7-4d20-95d1-1c1c00f0029d,Attribute,fbe05847-a947-4e28-add6-df1840a625ad,(e),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (b), and Article 435(2), points (a), (b), (c) CRR, the involvement of institutions management body in the supervision and management of environmental risks, and the rationale for institutions approach taking into account various transmission channels such as physical, transition and liability risks.",,
6d03657e-dd41-40e0-9e03-6e063d3c24fc,Attribute,fbe05847-a947-4e28-add6-df1840a625ad,(f),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(2), point (d) CRR, the ways in which institutions’ management body integrates short-term, medium-term and long-term effects of environmental risks in organisational structure for the purposes of risk management and the ways in which this integration of environmental risks is reflected in business lines and internal control functions.",,
532cbf4c-ea69-4d6b-8f07-26978a36e993,Attribute,fbe05847-a947-4e28-add6-df1840a625ad,(g),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(2), points (a), (b), (c) CRR, institutions’ organisation of risk committees and the allocation of tasks and responsibilities in the risk management framework to monitor and manage environmental risks, taking into account physical, transition and liability transmission channels.",,
44003a30-6a80-4a41-8cea-a80f08d4b287,Attribute,fbe05847-a947-4e28-add6-df1840a625ad,(h),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(2), points (e) CRR, the ways via which institutions include environmental risks into internal reporting framework and structure, and the frequency of internal reporting and information exchange on environmental risks.",,
13a2ab87-74fe-4d86-8eaf-5392469da901,Attribute,fbe05847-a947-4e28-add6-df1840a625ad,(i),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(2), points (e) CRR, information on whether environmental risks are included in remuneration policy, and the criteria and metrics used to determine the impact on variable remuneration of environmental risk considerations.",,
8b82e74b-b353-4af3-af1c-c2d5af5cfca3,Group,7e55e7e7-4b99-4187-84c3-320c55899409,Risk management,,,,,,,,,,,
af975d0a-79cc-4359-8c94-71d08bccea0b,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(j),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (f) CRR, integration of short-, medium- and long-term effects of environmental factors and risks in the risk tolerance framework. Institutions shall decide the relevant time horizon according to their own risk profile and exposures.",,
0ac63ca1-35e9-4f32-a969-666c5ea05e97,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(k),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (a) CRR, the methodologies, definitions and standards institutions are using for the identification and management of environmental factors and risks, and the framework on which these standards, definitions and methodologies are based. An explanation of the linkages of methodologies, definitions and standards to the current international and European policy framework and benchmarks available, for example, Non-financial Reporting Directive (NFRD); Task Force on Climate-related Financial Disclosures (TCFD) Recommendations; European Commission’s Guidelines on non-financial reporting – Supplement on reporting climate-related information; United Nations Environment Programme Finance Initiative (UNEP FI); the Global Reporting Initiative (GRI) Sustainability Reporting Standards, the United Nations’ Principles for Responsible Investment (UNPRI), Sustainability Accounting Standards Board standards and Carbon Disclosure Projects.",,
4b6c7d9a-0b9b-4190-956e-47a67e62a856,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(l),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (a) CRR: - the processes by which institutions identify and monitor its activities and exposures which are sensitive and vulnerable to environmental risks (e.g. via their counterparties, investment or asset management activities) including any movable and immovable assets associated with these activities and exposures. - The processes by which institutions identify and monitor environmental risks that are financially material or currently nonmaterial with a prospect to become material in the future. Activities, exposures and assets which are sensitive and vulnerable to environmental risks shall include those related, for example, to agriculture, fisheries, forestry, energy sectors in combination with their geographical location, reliance on water or other environmental factors and risks, which may be vulnerable to factors such as flood, draught, fires, loss of biodiversity. They shall also include concentration of the counterparty’s operations in endangered zones, and they shall be deemed to cover the entire value chain of the counterparty. When disclosing the above, institutions shall indicate materiality (including double materiality) as defined in the report in accordance with Article 98(8) of CRD and it shall cover the life cycle of exposures including for example, loan origination together with creditworthiness assessment of the counterparty and monitoring. Institutions shall explain the extent to which such assessment covers relevant transmission channels including, for example, (i) lower profitability, (ii) lower real estate value, lower household wealth, (iii) lower asset performance, (iv) increase cost of compliance, and (v) increase legal costs. If institutions identify no environmental risks as material, they shall provide justification and present the underlying methodology used to arrive to this conclusion.",,
897dac12-f23e-4cac-a0ba-327a74288fcd,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(m),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (d) CRR, the activities, commitments, and exposures institutions have in place in order to mitigate environmental risks. The methodology institutions use to identify risk mitigating measures and activities, and to what extent these activities, commitments and exposures account for relevant transmission channels, for example, (i) lower profitability, (ii) lower real estate value, lower household wealth, (iii) lower asset performance, (iv) increase cost of compliance, and (v) increase legal costs.",,
c8e17037-9e06-4d92-8d7e-eb38b0cc6b09,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(n),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (a) and (f) CRR, the implementation tools that institutions use for identification and management of environmental risks such as stress test, sensitivity analysis or other forward-looking indicators, applied at exposure-level, portfolio-level, counterparty-level or sectoral-level, depending on the materiality of the risk. This shall include indications of all assumptions and methodologies for any of the implementation tools used. Institution shall also indicate the time horizon used for the assessment of the environmental risk on the accounting and prudential metrics, e.g. short-term, medium-term or long-term time horizon.",,
52c875a3-e4f8-448b-953a-3fecd7a94040,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(o),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (a) and (f) CRR, the description of the outcome of the assessment from the risk tool used in accordance with point 14. The estimated impact of environmental risk, e.g., climate change risk, on institutions’ solvency, regulatory capital requirements and liquidity risk profile in the framework of ICAAP and ILAAP. For example, disclosure of the assessment of a portfolio with regard to different climate change scenarios and of the outcome of the scenario analyses with a linkage between the transition risk and its effect on financial and prudential metrics, such as the impact on accounting provisions or Tier 1 capital ratio.",,
31b0aab6-93e3-4d2e-9570-7de96e72f3d9,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(p),,,,,,,,Qualitative,"In accordance with Article 449a, the data and information available to institutions in order to carry out the risk management of environmental risks, the key data and information currently missing and measures the institution is taking in order to close data gaps and to improve data quality and accuracy.",,
67fb9893-d41c-479a-8927-ca842375d9b1,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(q),,,,,,,,Qualitative,"In accordance with Article 449a in conjunction with Article 435(1), point (f) CRR, the limits institutions set on financing projects or counterparties, which significantly harm environmental objectives (e.g., as per Article 9 of Regulation (EU) 2020/852) in line with institution’s business strategy. These limits shall include limits set by institutions at the point of origination and monitoring in order to avoid or mitigate environmental risks and limits that indicate when a specific exposure would trigger corrective actions, further investigation, internal escalation, and/or exclusion from portfolio.",,
64427737-a4c0-406b-8a50-f23d4b1ec3fa,Attribute,8b82e74b-b353-4af3-af1c-c2d5af5cfca3,(r),,,,,,,,Qualitative,"The ways that institutions map and link the manifestation of environmental risks on its balance sheet through credit risk, liquidity risk, market risk and operational risk. The ways in which institutions assess and manage the impact of transition to a low-carbon and climate-resilient economy to the prudential risk categories including credit risk, liquidity risk, market risk and operational risk.",,
2477a1c5-429c-4b5f-ab1c-5b04db9d35af,Object,dc78c85a-756b-413a-8a9d-11f9456b2095,Table 2: Qualitative information on Social risk,,,,,,,,,,,
a1ccad46-eed8-459e-ab06-9ea7e636b686,Group,2477a1c5-429c-4b5f-ab1c-5b04db9d35af,Business strategy and processes,,,,,,,,,,,
