ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Row,Comments/Description,Column
3c799de4-12f0-4ddb-9af8-87625969c64e,Layer,,Art. 8: KPIs of Non-Financial Undertakings,,,,,,,,,,
63a49bd9-7d8a-4c79-a545-39d66cbab7f5,Object,3c799de4-12f0-4ddb-9af8-87625969c64e,Turnover KPI,,,,,,,,,,
0b48f377-086f-4e18-b73d-66cec4523bff,Group,63a49bd9-7d8a-4c79-a545-39d66cbab7f5,Taxonomy-eligible activities,,,,,,,,A: Taxonomy-eligible activities,,
06041b87-f1ad-4f8d-91eb-7623139f4da8,Group,0b48f377-086f-4e18-b73d-66cec4523bff,Taxonomy-aligned activities,,,,,,,,A1: Taxonomy-aligned activities,List of eligible and aligned activities under the EU Taxonomy.,
070bfccb-bae3-47c1-8236-8cc3089eb3da,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,Economic activity,,,,,,,,A1: Taxonomy-aligned activities,,(1)
e9b0fc68-4d27-4be3-a6eb-70254bd3a13b,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,Code(s),,,,,,,,A1: Taxonomy-aligned activities,,(2)
d89b6afc-d9e5-4eea-833e-4c7c71523ec1,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,Absolute turnover,,,,,,,,A1: Taxonomy-aligned activities,,(3)
42c1f3b6-efb5-40c9-9f60-7bbd2f272b67,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,Proportion of turnover,,,,,,,,A1: Taxonomy-aligned activities,Proportion of turnover of a given activity against the total turnover of the company.,(4)
fee69970-c35f-41e5-9c43-76a8256beefb,Group,06041b87-f1ad-4f8d-91eb-7623139f4da8,Substantial Contribution Criteria,,,,,,,,A1: Taxonomy-aligned activities,"Proportion of turnover of a given activity that substantially contributes to one of the environmental objectives. While a given activity can Significantly Contribute to multiple environmental objectives, only one of these columns is expected to be populated.",(5)-(10)
25a0e9ca-851b-4334-ac8f-3eddcdd05fe7,Attribute,fee69970-c35f-41e5-9c43-76a8256beefb,Climate change mitigation,,,,,,,,A1: Taxonomy-aligned activities,Proportion of turnover of a given activity that substantially contributes to the Climate change mitigation objective.,(5)
3d36e60e-c463-42d7-a1ea-d043944c48bd,Attribute,fee69970-c35f-41e5-9c43-76a8256beefb,Climate change adaptation,,,,,,,,A1: Taxonomy-aligned activities,Proportion of turnover of a given activity that substantially contributes to the Climate change adaptation objective.,(6)
dd5d5594-4dc4-41c0-838b-9cbd330caff0,Attribute,fee69970-c35f-41e5-9c43-76a8256beefb,Water and marine resources,,,,,,,,A1: Taxonomy-aligned activities,Proportion of turnover of a given activity that substantially contributes to the Water and marine resources objective.,(7)
ea99810a-acf8-4520-b9ea-0eebe46df945,Attribute,fee69970-c35f-41e5-9c43-76a8256beefb,Circular economy,,,,,,,,A1: Taxonomy-aligned activities,Proportion of turnover of a given activity that substantially contributes to the Circular economy objective.,(8)
36e9b5ed-3532-413a-bddc-2652858cbb94,Attribute,fee69970-c35f-41e5-9c43-76a8256beefb,Pollution,,,,,,,,A1: Taxonomy-aligned activities,Proportion of turnover of a given activity that substantially contributes to the Pollution objective.,(9)
ed523a4d-24d6-48e4-adbb-a63be1d4f22b,Attribute,fee69970-c35f-41e5-9c43-76a8256beefb,Biodiversity and ecosystems,,,,,,,,A1: Taxonomy-aligned activities,Proportion of turnover of a given activity that substantially contributes to the Biodiversity and ecosystems objective.,(10)
d18f9dec-90c0-49d8-a715-9c54389c864c,Group,06041b87-f1ad-4f8d-91eb-7623139f4da8,DNSH criteria,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(11)-(16)
0e439794-51d0-439f-8252-eb1ac3d4d7ca,Attribute,d18f9dec-90c0-49d8-a715-9c54389c864c,Climate change mitigation,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(11)
be4d6aa1-997f-4069-8ab0-972c81bc8f2d,Attribute,d18f9dec-90c0-49d8-a715-9c54389c864c,Climate change adaptation,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(12)
4f686cfb-a5fe-4b8f-b9b8-7bb60e8e653c,Attribute,d18f9dec-90c0-49d8-a715-9c54389c864c,Water and marine resources,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(13)
493dc371-53cb-4601-9021-72ef7f8405b6,Attribute,d18f9dec-90c0-49d8-a715-9c54389c864c,Circular economy,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(14)
cde1fd82-7151-4774-a89a-e5f1dbe2c979,Attribute,d18f9dec-90c0-49d8-a715-9c54389c864c,Pollution,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(15)
c14bd510-9c3a-4e2b-8063-679dd69e1236,Attribute,d18f9dec-90c0-49d8-a715-9c54389c864c,Biodiversity and ecosystems,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with DNSH (Y/N).,(16)
7404c73f-757e-4710-9ccf-686c4c068114,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,Minimum safeguards,,,,,,,,A1: Taxonomy-aligned activities,Alignment of a given activity with MS (Y/N).,(17)
023d635a-51a7-4529-b518-0098c55cf934,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,"Taxonomy-aligned proportion of turnover, year N",,,,,,,,A1: Taxonomy-aligned activities,Taxonomy-aligned proportion of turnover of a given activity.,(18)
4cd48e73-631a-4ebb-9e9a-07515c3bd0fc,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,"Taxonomy-aligned proportion of turnover, year N-1",,,,,,,,A1: Taxonomy-aligned activities,Taxonomy-aligned proportion of turnover of a given activity.,(19)
8a79389f-c439-490a-84fa-7e9e02d578c2,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,Enabling activity flag,,,,,,,,A1: Taxonomy-aligned activities,Categorisations based on whether an activity is transitional (only for climate change mitigation) or enabling. Information in these columns is only to be selected if officially classified as such and the activity does not substantially contribute by its own performance.,(20)
998b5a0d-ff22-4071-a2e3-6de93b753eb2,Attribute,06041b87-f1ad-4f8d-91eb-7623139f4da8,Transitional activity flag,,,,,,,,A1: Taxonomy-aligned activities,Categorisations based on whether an activity is transitional (only for climate change mitigation) or enabling. Information in these columns is only to be selected if officially classified as such and the activity does not substantially contribute by its own performance.,(21)
8ea9c552-59b5-4fa9-93c6-b64c62972361,Attribute,0b48f377-086f-4e18-b73d-66cec4523bff,Turnover of Taxonomy-aligned activities (Total),,,,,,,,A1T: Taxonomy-aligned activities (Total),Incl. sum or total of all Taxonomy-eligible activities’ Taxonomy-aligned proportion of turnovers.,"(3)-(10), (18)-(19)"
14a21a6c-1800-4244-9361-11e91c3f1ffb,Group,0b48f377-086f-4e18-b73d-66cec4523bff,Taxonomy-eligible but not Taxonomy-aligned activities,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,"List of eligible but non-aligned activities under the EU Taxonomy. The missing columns refer to the criteria (DNSH and MS) and other classifications (enabling, transitional and own performance) that only pertain to Taxonomy alignment. This information need not be reported if the result is that the activity is not Taxonomy aligned.",
90766cc8-7041-416b-bdcc-449c7bc29e27,Attribute,14a21a6c-1800-4244-9361-11e91c3f1ffb,Economic activity,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,,(1)
1f5baa99-ad17-4f3d-83c4-3e54338f996f,Attribute,14a21a6c-1800-4244-9361-11e91c3f1ffb,Code(s),,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,,(2)
6c356a35-6e93-45d7-a84c-5f83425a55f7,Attribute,14a21a6c-1800-4244-9361-11e91c3f1ffb,Absolute turnover,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,,(3)
3cbefa02-4c2b-46f8-a250-e5ec672ee303,Attribute,14a21a6c-1800-4244-9361-11e91c3f1ffb,Proportion of turnover,,,,,,,,A2: Taxonomy-eligible but not Taxonomy-aligned activities,Proportion of turnover of a given activity against the total turnover of the company.,(4)
6e1e0e1e-1bc5-4473-9354-f03e67ec4805,Attribute,0b48f377-086f-4e18-b73d-66cec4523bff,Turnover of Taxonomy-eligible but not Taxonomy-aligned activities (Total),,,,,,,,A2T: Taxonomy-eligible but not Taxonomy-aligned activities (Total),,
1c50e7a4-69ca-4f2d-b312-fd53f111ec9e,Group,0b48f377-086f-4e18-b73d-66cec4523bff,Total (Taxonomy-eligible activities),,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,
47295839-fcc5-452f-b3c1-3af54dc3ad57,Attribute,1c50e7a4-69ca-4f2d-b312-fd53f111ec9e,Absolute turnover,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(3)
aa209a7b-e297-435c-bff9-6918eff9a9f2,Attribute,1c50e7a4-69ca-4f2d-b312-fd53f111ec9e,Proportion of turnover,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),Proportion of turnover of all Taxonomy-eligible activities (including those that failed the Taxonomy alignment check).,(4)
fe05097c-d01f-49bc-a81e-2e7ac1d97f26,Attribute,1c50e7a4-69ca-4f2d-b312-fd53f111ec9e,"Taxonomy-aligned proportion of turnover, year N",,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(18)
2cc68f8f-815c-406c-ac67-55aa712c23b7,Attribute,1c50e7a4-69ca-4f2d-b312-fd53f111ec9e,"Taxonomy-aligned proportion of turnover, year N-1",,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(19)
b97d8d26-18e5-4eb5-bd18-197549742882,Attribute,1c50e7a4-69ca-4f2d-b312-fd53f111ec9e,Enabling activity flag,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(20)
0d11e743-ebfa-46da-87f4-94f3a0cd9f5e,Attribute,1c50e7a4-69ca-4f2d-b312-fd53f111ec9e,Transitional activity flag,,,,,,,,A1+A2: All Taxonomy-eligible activities (Total),,(21)
bae242fe-87c5-4f0c-aa02-084a22ecb852,Group,63a49bd9-7d8a-4c79-a545-39d66cbab7f5,Taxonomy-non-eligible activities,,,,,,,,B: Taxonomy-non-eligible activities,Non-eligible activities under the EU Taxonomy.,
d21c6564-6868-481b-ac1c-cdea1f2e331c,Attribute,bae242fe-87c5-4f0c-aa02-084a22ecb852,Turnover of Taxonomy-non-eligible activities,,,,,,,,B1: Turnover of Taxonomy-non-eligible activities,Proportion of turnover of non-eligible activities under the EU Taxonomy.,(4)
04191975-818c-4303-8f45-903050f7686d,Attribute,bae242fe-87c5-4f0c-aa02-084a22ecb852,Total turnover,,,,,,,,A+B: Turnover (Total),"Total turnover of the company, in percentage (always 100%).",(4)
0495ed29-babd-45c5-95d2-ce734a6c4380,Object,3c799de4-12f0-4ddb-9af8-87625969c64e,CapEx KPI,,,,,,,,,,
4864eb79-b0ee-4d00-bc13-f15cbf78fb6d,Group,0495ed29-babd-45c5-95d2-ce734a6c4380,Taxonomy-eligible activities,,,,,,,,A: Taxonomy-eligible activities,,
c9bedf33-c98f-4204-96c7-adfd4c478d60,Group,4864eb79-b0ee-4d00-bc13-f15cbf78fb6d,Taxonomy-aligned activities,,,,,,,,A1: Taxonomy-aligned activities,List of eligible and aligned activities under the EU Taxonomy.,
5718face-8460-4dea-b4d6-64699d6f72a0,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,Economic activity,,,,,,,,A1: Taxonomy-aligned activities,,(1)
671ffafe-0683-4b56-82f2-c6fd78dfc7ce,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,Code(s),,,,,,,,A1: Taxonomy-aligned activities,,(2)
60ee0266-4928-4dc6-b66f-7557a6782653,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,Absolute CapEx,,,,,,,,A1: Taxonomy-aligned activities,,(3)
3b5c2b05-3ebd-470d-8da3-d4c8fb3c1605,Attribute,c9bedf33-c98f-4204-96c7-adfd4c478d60,Proportion of CapEx,,,,,,,,A1: Taxonomy-aligned activities,Proportion of CapEx of a given activity against the total CapEx of the company.,(4)
c4c66a04-e4ff-4049-8db8-ac7656bded0d,Group,c9bedf33-c98f-4204-96c7-adfd4c478d60,Substantial Contribution Criteria,,,,,,,,A1: Taxonomy-aligned activities,"Proportion of CapEx of a given activity that substantially contributes to one of the environmental objectives. While a given activity can Significantly Contribute to multiple environmental objectives, only one of these columns is expected to be populated.",(5)-(10)
5d43df51-197a-493e-a99c-5f69c60e5dde,Attribute,c4c66a04-e4ff-4049-8db8-ac7656bded0d,Climate change mitigation,,,,,,,,A1: Taxonomy-aligned activities,Proportion of CapEx of a given activity that substantially contributes to the Climate change mitigation objective.,(5)
bb830d6d-563a-40bc-9e0e-adc73ffee1f1,Attribute,c4c66a04-e4ff-4049-8db8-ac7656bded0d,Climate change adaptation,,,,,,,,A1: Taxonomy-aligned activities,Proportion of CapEx of a given activity that substantially contributes to the Climate change adaptation objective.,(6)
0201a313-a230-4759-94e4-af131190cd91,Attribute,c4c66a04-e4ff-4049-8db8-ac7656bded0d,Water and marine resources,,,,,,,,A1: Taxonomy-aligned activities,Proportion of CapEx of a given activity that substantially contributes to the Water and marine resources objective.,(7)
