ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,NACE Code (EU Taxonomy Format),EU Taxonomy Activity Code,Description,Criteria,NACE Codes
461e5a7c-7648-4872-9bc9-73a1597a4562,Layer,,NACE Codes,,,,,,,,,,,,
5e7fd4e9-c5c7-4a48-af69-15e6283bf689,Object,461e5a7c-7648-4872-9bc9-73a1597a4562,"A - Agriculture, forestry and fishing",,,,,,,,A,,,,
14ff79e4-a6e1-42f6-82c9-4785d8f07540,Group,5e7fd4e9-c5c7-4a48-af69-15e6283bf689,"A1 - Crop and animal production, hunting and related service activities",,,,,,,,A1,,,,
4fe47ea4-5f6b-4714-86e6-6a45d83d6443,Group,14ff79e4-a6e1-42f6-82c9-4785d8f07540,A1.1 - Growing of non-perennial crops,,,,,,,,A1.1,,,,
fc362170-3433-476a-a24b-1e84280ffcfe,Attribute,4fe47ea4-5f6b-4714-86e6-6a45d83d6443,"A1.1.1 - Growing of cereals (except rice), leguminous crops and oil seeds",,,,,,,,A1.11,,,,
03426aba-aa79-443c-b9eb-ff8a54625295,Attribute,4fe47ea4-5f6b-4714-86e6-6a45d83d6443,A1.1.2 - Growing of rice,,,,,,,,A1.12,,,,
746b7ccd-4926-4b26-8d25-f2824facb988,Attribute,4fe47ea4-5f6b-4714-86e6-6a45d83d6443,"A1.1.3 - Growing of vegetables and melons, roots and tubers",,,,,,,,A1.13,,,,
beccb90a-cd3e-4cf6-9e4d-06ec64ac9146,Attribute,4fe47ea4-5f6b-4714-86e6-6a45d83d6443,A1.1.4 - Growing of sugar cane,,,,,,,,A1.14,,,,
81002305-4c25-4d70-9379-0ea3728d6d7f,Attribute,4fe47ea4-5f6b-4714-86e6-6a45d83d6443,A1.1.5 - Growing of tobacco,,,,,,,,A1.15,,,,
5253bf5b-d790-4687-a281-c9306b65fe45,Attribute,4fe47ea4-5f6b-4714-86e6-6a45d83d6443,A1.1.6 - Growing of fibre crops,,,,,,,,A1.16,,,,
c075d850-9683-4636-908a-6642e4cbf740,Attribute,4fe47ea4-5f6b-4714-86e6-6a45d83d6443,A1.1.9 - Growing of other non-perennial crops,,,,,,,,A1.19,,,,
e2a862a7-7ae0-4b52-b88d-9dc4507814f0,Group,14ff79e4-a6e1-42f6-82c9-4785d8f07540,A1.2 - Growing of perennial crops,,,,,,,,A1.2,,,,
944848a8-f26c-41cc-bf7a-afb5413a4dfa,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.1 - Growing of grapes,,,,,,,,A1.21,,,,
6142a733-3a2e-473a-a6ea-962071d1d881,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.2 - Growing of tropical and subtropical fruits,,,,,,,,A1.22,,,,
442154bd-ebf3-492e-88bd-ac61756b024b,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.3 - Growing of citrus fruits,,,,,,,,A1.23,,,,
8478751e-f0a1-42c2-9b71-af2669c4613a,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.4 - Growing of pome fruits and stone fruits,,,,,,,,A1.24,,,,
04d3f4d8-7f1c-4b12-a977-97600747a773,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.5 - Growing of other tree and bush fruits and nuts,,,,,,,,A1.25,,,,
a0bfbe3e-acc8-4c3e-9809-014e9f293837,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.6 - Growing of oleaginous fruits,,,,,,,,A1.26,,,,
5c247019-93e9-4fd8-bda3-b9cf758fa853,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.7 - Growing of beverage crops,,,,,,,,A1.27,,,,
5d0fd050-89a3-473a-99b3-89f7ce8824cc,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,"A1.2.8 - Growing of spices, aromatic, drug and pharmaceutical crops",,,,,,,,A1.28,,,,
58636423-5af1-418c-bb95-41499093bc70,Attribute,e2a862a7-7ae0-4b52-b88d-9dc4507814f0,A1.2.9 - Growing of other perennial crops,,,,,,,,A1.29,,,,
bc25f499-1721-436d-88f5-64392f3788c3,Group,14ff79e4-a6e1-42f6-82c9-4785d8f07540,A1.3 - Plant propagation,,,,,,,,A1.3,,,,
6d5e6006-4b07-4d91-84d1-0920d88da4b0,Attribute,bc25f499-1721-436d-88f5-64392f3788c3,A1.3.0 - Plant propagation,,,,,,,,A1.30,,,,
ac99d19c-4f20-4174-9e2c-d632f86b4129,Group,14ff79e4-a6e1-42f6-82c9-4785d8f07540,A1.4 - Animal production,,,,,,,,A1.4,,,,
5ce6d6c1-339f-4b07-8b47-b2bc78af63ef,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.1 - Raising of dairy cattle,,,,,,,,A1.41,,,,
9fa82e76-ae2e-49bb-aa9e-836ed39baa3b,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.2 - Raising of other cattle and buffaloes,,,,,,,,A1.42,,,,
e4c5f968-4ad3-412d-b636-2e55e8c5a430,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.3 - Raising of horses and other equines,,,,,,,,A1.43,,,,
cae47a02-6173-4009-833f-9873dac0ad5c,Attribute,ac99d19c-4f20-4174-9e2c-d632f86b4129,A1.4.4 - Raising of camels and camelids,,,,,,,,A1.44,,,,
