ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,NACE Code (EU Taxonomy Format),EU Taxonomy Activity Code,Description,Criteria,NACE Codes
48a81836-a32d-4c7e-99fd-e66ba6cf1d52,Layer,,NACE Codes,,,,,,,,,,,,
8e36c23d-78a8-46c9-b2c1-a87dc766368a,Object,48a81836-a32d-4c7e-99fd-e66ba6cf1d52,"A - Agriculture, forestry and fishing",,,,,,,,A,,,,
541f9bb9-8099-4af7-b16a-d87f0c4c8904,Group,8e36c23d-78a8-46c9-b2c1-a87dc766368a,"A1 - Crop and animal production, hunting and related service activities",,,,,,,,A1,,,,
fa26531e-c74c-4614-9b61-136b926cb21c,Group,541f9bb9-8099-4af7-b16a-d87f0c4c8904,A1.1 - Growing of non-perennial crops,,,,,,,,A1.1,,,,
fbcf6dca-2877-45bd-b77f-29ea7cc23e25,Attribute,fa26531e-c74c-4614-9b61-136b926cb21c,"A1.1.1 - Growing of cereals (except rice), leguminous crops and oil seeds",,,,,,,,A1.11,,,,
e84dee81-59bd-4389-b2be-01212802e02a,Attribute,fa26531e-c74c-4614-9b61-136b926cb21c,A1.1.2 - Growing of rice,,,,,,,,A1.12,,,,
ac107796-3172-4eaf-aa04-c3569ae637d8,Attribute,fa26531e-c74c-4614-9b61-136b926cb21c,"A1.1.3 - Growing of vegetables and melons, roots and tubers",,,,,,,,A1.13,,,,
461f9a7e-bf9a-4b89-bcda-21f3a42daf9a,Attribute,fa26531e-c74c-4614-9b61-136b926cb21c,A1.1.4 - Growing of sugar cane,,,,,,,,A1.14,,,,
e62036a9-fbaf-4b5f-91fc-9cd8b4d10d5e,Attribute,fa26531e-c74c-4614-9b61-136b926cb21c,A1.1.5 - Growing of tobacco,,,,,,,,A1.15,,,,
2afb349e-2060-4b38-832a-4d03cd5af41f,Attribute,fa26531e-c74c-4614-9b61-136b926cb21c,A1.1.6 - Growing of fibre crops,,,,,,,,A1.16,,,,
8cc0ebbc-5745-4704-bfd3-53c9ee53c204,Attribute,fa26531e-c74c-4614-9b61-136b926cb21c,A1.1.9 - Growing of other non-perennial crops,,,,,,,,A1.19,,,,
af965969-5c69-4298-85a5-ae5addce6686,Group,541f9bb9-8099-4af7-b16a-d87f0c4c8904,A1.2 - Growing of perennial crops,,,,,,,,A1.2,,,,
c6a1308f-6c7c-48d9-87a3-620c1adf61b6,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.1 - Growing of grapes,,,,,,,,A1.21,,,,
05f3b24d-9a07-48ee-83cf-67a70f489c93,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.2 - Growing of tropical and subtropical fruits,,,,,,,,A1.22,,,,
6dd1e224-444d-406c-a844-3e05e608e119,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.3 - Growing of citrus fruits,,,,,,,,A1.23,,,,
e4375dad-0929-41cb-8856-b9182c47dbf3,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.4 - Growing of pome fruits and stone fruits,,,,,,,,A1.24,,,,
33e0daf8-d737-4091-8c3a-19a30bf3f9f2,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.5 - Growing of other tree and bush fruits and nuts,,,,,,,,A1.25,,,,
1f6b00e6-3d8a-44f3-bc09-db8e651150dc,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.6 - Growing of oleaginous fruits,,,,,,,,A1.26,,,,
23051a80-b522-4dd7-a3ab-172c3c9b4597,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.7 - Growing of beverage crops,,,,,,,,A1.27,,,,
688b56fd-a795-4f50-981b-7878074c86e6,Attribute,af965969-5c69-4298-85a5-ae5addce6686,"A1.2.8 - Growing of spices, aromatic, drug and pharmaceutical crops",,,,,,,,A1.28,,,,
bb4236e5-f227-492a-84a5-f70e51707777,Attribute,af965969-5c69-4298-85a5-ae5addce6686,A1.2.9 - Growing of other perennial crops,,,,,,,,A1.29,,,,
8075a216-9046-489c-927b-08804aa680a9,Group,541f9bb9-8099-4af7-b16a-d87f0c4c8904,A1.3 - Plant propagation,,,,,,,,A1.3,,,,
ee4c2dc7-09bf-4195-8a49-b114b78920df,Attribute,8075a216-9046-489c-927b-08804aa680a9,A1.3.0 - Plant propagation,,,,,,,,A1.30,,,,
5b3ab488-7d1e-4f3a-b215-f70964a63211,Group,541f9bb9-8099-4af7-b16a-d87f0c4c8904,A1.4 - Animal production,,,,,,,,A1.4,,,,
51eb5c04-61cb-4651-a30d-19d85b373d72,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.1 - Raising of dairy cattle,,,,,,,,A1.41,,,,
1de37c6a-3d3d-4c85-9164-f9ad8144ac59,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.2 - Raising of other cattle and buffaloes,,,,,,,,A1.42,,,,
9e63eacf-32f2-4188-9c7b-1aa9c52ec4cf,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.3 - Raising of horses and other equines,,,,,,,,A1.43,,,,
2166efeb-559c-446e-9c07-17e995504ce4,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.4 - Raising of camels and camelids,,,,,,,,A1.44,,,,
dbb191c2-dbe4-47e9-af3c-b7abd3b35dce,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.5 - Raising of sheep and goats,,,,,,,,A1.45,,,,
ea1631fd-245c-4523-8153-0db4b63465da,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.6 - Raising of swine and pigs,,,,,,,,A1.46,,,,
75c06cb4-408c-4203-9fea-db270c915654,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.7 - Raising of poultry,,,,,,,,A1.47,,,,
99fe1914-3c7f-45a6-9a81-869c861481a0,Attribute,5b3ab488-7d1e-4f3a-b215-f70964a63211,A1.4.9 - Raising of other animals,,,,,,,,A1.49,,,,
0bcb647d-8164-4593-83bb-4d2b14219351,Group,541f9bb9-8099-4af7-b16a-d87f0c4c8904,A1.5 - Mixed farming,,,,,,,,A1.5,,,,
b6082ed2-1e89-4b88-a807-6aa9a51a42c6,Attribute,0bcb647d-8164-4593-83bb-4d2b14219351,A1.5.0 - Mixed farming,,,,,,,,A1.50,,,,
c39ebf14-cce2-4575-a420-8451186fb8b1,Group,541f9bb9-8099-4af7-b16a-d87f0c4c8904,A1.6 - Support activities to agriculture and post-harvest crop activities,,,,,,,,A1.6,,,,
b3803583-bfd7-4feb-a254-3e2d60d936fe,Attribute,c39ebf14-cce2-4575-a420-8451186fb8b1,A1.6.1 - Support activities for crop production,,,,,,,,A1.61,,,,
59087312-27dc-47f3-ad2f-ac9c3b1dddb5,Attribute,c39ebf14-cce2-4575-a420-8451186fb8b1,A1.6.2 - Support activities for animal production,,,,,,,,A1.62,,,,
