ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Activity,Exact DNSH,Footnotes
08187081-6583-4b28-ab18-aecffdcbf6b9,Layer,,DNSH,,,,,,,,,,
b9f95f4f-3158-4f5a-9116-0f08f06aa980,Object,08187081-6583-4b28-ab18-aecffdcbf6b9,DNSH on Climate Adaption,,,,,,,,,,
02c7f80f-58f2-48bb-8173-a5a10744026b,Group,b9f95f4f-3158-4f5a-9116-0f08f06aa980,Forestry,,,,,,,,,,
ef4d4802-30fb-4ceb-a954-fb66c1d26bc7,Attribute,02c7f80f-58f2-48bb-8173-a5a10744026b,1.1,,,,,,,,Afforestation,The activity complies with the criteria set out in Appendix A to this Annex.,"(3) Land with high-carbon stock means wetlands, including peatland, and continuously forested areas within the meaning of Article 29(4)(a), (b) and (c) of Directive (EU) 2018/2001. (4) Forest area that has a long-term (ten years or more) documented management plan, aiming at defined management goals, and which is periodically revised, (5) Including an analysis of (i) long term sustainability of the wood resource (ii) impacts/pressures on habitat conservation, diversity of associated habitats and condition of harvesting minimising soil impacts. (6) Commission Delegated Regulation (EU) No 807/2014 of 11 March 2014 supplementing Regulation (EU) No 1305/2013 of the European Parliament and of the Council on support for rural development by the European Agricultural Fund for Rural Development (EAFRD) and introducing transitional provisions (OJ L 227, 31.7.2014, p. 1). (7) Forest Europe Pan-European Guidelines for Afforestation and Reforestation with a special focus on the provisions of the UNFCCC adopted by the MCPFE Expert Level Meeting on 12-13 November, 2008 and by the PEBLDS Bureau on behalf of the PEBLDS Council on 4 November, 2008 (version of [adoption date]: https://www.foresteurope.org/docs/other_meetings/2008/Geneva/Guidelines_Aff_Ref_ADOPTED.pdf). (8) Land with high-carbon stock means wetlands, including peatland, and continuously forested areas within the meaning of Article 29(4)(a), (b) and (c) of Directive (EU) 2018/2001. (9) Regulation (EU) No 995/2010 of the European Parliament and of the Council of 20 October 2010 laying down the obligations of operators who place timber and timber products on the market (OJ L 295, 12.11.2010, p. 23). (10) 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (version of [adoption date]: https://www.ipcc-nggip.iges.or.jp/public/2019rf/). (11) Forest area that is designated to be retained as forest and may not be converted to other land use, (12) ‘Sourcing area’ means the geographically defined area from which the forest biomass feedstock is sourced, from which reliable and independent information is available and where conditions are sufficiently homogeneous to evaluate the risk of the sustainability and legality characteristics of the forest biomass. (13) Directive 2009/128/EC of the European Parliament and of the Council of 21 October 2009 establishing a framework for Community action to achieve the sustainable use of pesticides (OJ L 309, 24.11.2009, p. 71). (14) Regulation (EU) 2019/1009 of the European Parliament and of the Council of 5 June 2019 laying down rules on the making available on the market of EU fertilising products and amending Regulations (EC) No 1069/2009 and (EC) No 1107/2009 and repealing Regulation (EC) No 2003/2003 (OJ L 170, 25.6.2019, p. 1). (15) Which implements in the Union the Stockholm Convention on persistent organic pollutants (OJ L 209, 31.7.2006, p. 3.). (16) Regulation (EU) 2019/1021 of the European Parliament and of the Council of 20 June 2019 on persistent organic pollutants (OJ L 169, 25.6.2019, p. 45). (17) Rotterdam Convention on the Prior Informed Consent Procedure for Certain Hazardous Chemicals and Pesticides in International Trade (OJ L 63, 6.3.2003, p. 29). (18) Minamata Convention on Mercury (OJ L 142, 2.6.2017, p. 6.). (19) Montreal Protocol on Substances that Deplete the Ozone Layer (OJ L 297, 31.10.1988, p. 21). (20) The WHO Recommended Classification of Pesticides by Hazard (version 2019), (version of [adoption date]: https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1)."
0df61b52-def0-425c-868d-ed12d33c7cbf,Attribute,02c7f80f-58f2-48bb-8173-a5a10744026b,1.2,,,,,,,,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",The activity complies with the criteria set out in Appendix A to this Annex.,"(30) Forest area that has a long-term (ten years or more) documented management plan, aiming at defined management goals, and which is periodically revised. (31) Including an analysis of (i) long term sustainability of the wood resource (ii) impacts/pressures on habitat conservation, diversity of associated habitats and condition of harvesting minimizing soil impacts. (32) The stewardship and use of forests and forest lands in a way, and at a rate, that maintains their biodiversity, productivity, regeneration capacity, vitality and their potential to fulfil, now and in the future, relevant ecological, economic and social functions, at local, national, and global levels, and that does not cause damage to other ecosystems. (33) Annex 2 of the Resolution L2. Pan-European Operational Level Guidelines for Sustainable Forest Management. Third Ministerial Conference on the Protection of Forests in Europe 2-4 June 1998, Lisbon/Portugal (version of [adoption date]: <a class=""popover-link"" href=""https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18"" target=""_blank"">https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18</a>). (34) Land with high-carbon stock means wetlands, including peatland, and continuously forested areas within the meaning of Article 29(4)(a), (b) and (c) of Directive (EU) 2018/2001. (35) 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (version of [adoption date]: https://www.ipcc-nggip.iges.or.jp/public/2019rf/). (36) Forest area that is designated to be retained as forest and may not be converted to other land use, (37) ‘Sourcing area’ means the geographically defined area from which the forest biomass feedstock is sourced, from which reliable and independent information is available and where conditions are sufficiently homogeneous to evaluate the risk of the sustainability and legality characteristics of the forest biomass. (38) Which implements in the Union the Stockholm Convention on persistent organic pollutants (OJ L 209, 31.7.2006, p. 3)."
51c1eec9-77e6-4dec-a080-c1e5192542d9,Attribute,02c7f80f-58f2-48bb-8173-a5a10744026b,1.3,,,,,,,,Forest management,The activity complies with the criteria set out in Appendix A to this Annex.,"(40) Forest area that has a long-term (ten years or more) documented management plan, aiming at defined management goals, and which is periodically revised. (41) Including an analysis of (i) long term sustainability of the wood resource (ii) impacts/pressures on habitat conservation, diversity of associated habitats and condition of harvesting minimizing soil impacts. (42) The stewardship and use of forests and forest lands in a way, and at a rate, that maintains their biodiversity, productivity, regeneration capacity, vitality and their potential to fulfil, now and in the future, relevant ecological, economic and social functions, at local, national, and global levels, and that does not cause damage to other ecosystems. (43) Annex 2 of the Resolution L2. Pan-European Operational Level Guidelines for Sustainable Forest Management. Third Ministerial Conference on the Protection of Forests in Europe 2-4 June 1998, Lisbon/Portugal (version of [adoption date]: <a class=""popover-link"" href=""https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18"" target=""_blank"">https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18</a>). (44) Land with high-carbon stock means wetlands, including peatland, and continuously forested areas within the meaning of Article 29(4)(a), (b) and (c) of Directive (EU) 2018/2001. (45) 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (version of [adoption date]: https://www.ipcc-nggip.iges.or.jp/public/2019rf/). (46) Forest area that is designated to be retained as forest and may not be converted to other land use. (47) ‘Sourcing area’ means the geographically defined area from which the forest biomass feedstock is sourced, from which reliable and independent information is available and where conditions are sufficiently homogeneous to evaluate the risk of the sustainability and legality characteristics of the forest biomass. (48) Which implements in the Union the Stockholm Convention on persistent organic pollutants (OJ L 209, 31.7.2006, p. 3.). (49) The WHO Recommended Classification of Pesticides by Hazard (version 2019), (version of [adoption date]: https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1)."
9cb94ff2-4170-4a5b-a5ff-662dadc87a4a,Attribute,02c7f80f-58f2-48bb-8173-a5a10744026b,1.4,,,,,,,,Conservation forestry,The activity complies with the criteria set out in Appendix A to this Annex.,"(51) Forest area that has a long-term (ten years or more) documented management plan, aiming at defined management goals, and which is periodically revised, FAO Global Resources Assessment 2020. Terms and definitions (version of [adoption date]: http://www.fao.org/3/I8661EN/i8661en.pdf). (52) The primary designated management objective assigned to a management unit (FAO Global Resources Assessment 2020. Terms and definitions version of [adoption date]: http://www.fao.org/3/I8661EN/i8661en.pdf). (53) Forest where the management objective is protection of soil and water. (FAO Global Resources Assessment 2020. Terms and definitions version of [adoption date]: http://www.fao.org/3/I8661EN/i8661en.pdf). (54) Forest where the management objective is conservation of biological diversity. Includes but is not limited to areas designated for biodiversity conservation within the protected areas. (FAO Global Resources Assessment 2020. Terms and definitions version of [adoption date]: http://www.fao.org/3/I8661EN/i8661en.pdf). (55) Forest where the management objective is social services. (FAO Global Resources Assessment 2020. Terms and definitions version of [adoption date]: http://www.fao.org/3/I8661EN/i8661en.pdf) (56) The stewardship and use of forests and forest lands in a way, and at a rate, that maintains their biodiversity, productivity, regeneration capacity, vitality and their potential to fulfil, now and in the future, relevant ecological, economic and social functions, at local, national, and global levels, and that does not cause damage to other ecosystems. (57) Annex 2 of the Resolution L2. Pan-European Operational Level Guidelines for Sustainable Forest Management. Third Ministerial Conference on the Protection of Forests in Europe 2-4 June 1998, Lisbon/Portugal (version of [adoption date]: <a class=""popover-link"" href=""https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18"" target=""_blank"">https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18</a>). (58) Land with high-carbon stock means wetlands, including peatland, and continuously forested areas within the meaning of Article 29(4)(a), (b) and (c) of Directive (EU) 2018/2001. (59) 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (version of [adoption date]: https://www.ipcc-nggip.iges.or.jp/public/2019rf/). (60) Forest area that is designated to be retained as forest and may not be converted to other land use. (61) ‘Sourcing area’ means the geographically defined area from which the forest biomass feedstock is sourced, from which reliable and independent information is available and where conditions are sufficiently homogeneous to evaluate the risk of the sustainability and legality characteristics of the forest biomass. (62) Which implements in the Union the Stockholm Convention on persistent organic pollutants (OJ L 209, 31.7.2006, p. 3.). (63) The WHO Recommended Classification of Pesticides by Hazard (version 2019), (version of [adoption date]: https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1)."
4d6c4075-17c8-4e54-8acf-044a8306a8e0,Group,b9f95f4f-3158-4f5a-9116-0f08f06aa980,Environmental protection and restoration activities,,,,,,,,,,
51addfb8-f222-4478-b7c4-83381e0c821e,Attribute,4d6c4075-17c8-4e54-8acf-044a8306a8e0,2.1,,,,,,,,Restoration of wetlands,The activity complies with the criteria set out in Appendix A to this Annex.,"(69) Ramsar Convention (2002) Principles and guidelines for wetland restoration. Adopted by Resolution VIII.16 (2002) of the Ramsar Convention (version of [adoption date]: <a class=""popover-link"" href=""https://www.ramsar.org/sites/default/files/documents/pdf/guide/guide-restoration.pdf"" target=""_blank"">https://www.ramsar.org/sites/default/files/documents/pdf/guide/guide-restoration.pdf</a>). (70) Ramsar Convention (2002) Resolution VIII.14 New Guidelines for management planning for Ramsar sites and other wetlands (version of [adoption date]: <a class=""popover-link"" href=""https://www.ramsar.org/sites/default/files/documents/pdf/res/key_res_viii_14_e.pdf"" target=""_blank"">https://www.ramsar.org/sites/default/files/documents/pdf/res/key_res_viii_14_e.pdf</a>). (71) 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (version of [adoption date]: https://www.ipcc-nggip.iges.or.jp/public/2019rf/). (72) Which implements in the Union the Stockholm Convention on persistent organic pollutants (OJ L 209, 31.7.2006, p. 3). (73) The WHO Recommended Classification of Pesticides by Hazard (version 2019), (version of [adoption date]: <a class=""popover-link"" href=""https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1"" target=""_blank"">https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1</a>)."
897cf96d-8a7d-41c0-b253-32a5d0ebcd9a,Group,b9f95f4f-3158-4f5a-9116-0f08f06aa980,Manufacturing,,,,,,,,,,
