ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description
a1693f3b-4a23-43fa-a532-055c4625f0d9,Layer,,GRI 305 Emissions,,,,,,,,
bd413080-1f3f-478d-872e-44f41571e30c,Object,a1693f3b-4a23-43fa-a532-055c4625f0d9,Disclsoure 2-1 Organizational Details,,,,,,,,
696acd96-3b36-4a12-8f4b-d644dd2fca6e,Attribute,bd413080-1f3f-478d-872e-44f41571e30c,Requirement  to 2-1-a,,,,,,,,"If the organization uses a commonly known trading name or business name that is different from its legal name, it should report this in addition to its legal name."
3fe2a747-14a7-42a4-8a14-e6ded9993ef4,Attribute,bd413080-1f3f-478d-872e-44f41571e30c,Requirement  to 2-1-b,,,,,,,,"The nature of ownership and the legal form of the organization refers to whether it is publicly or privately owned, and whether it is an incorporated entity, a partnership, a sole proprietorship, or another type of entity such as a nonprofit, an association, or a charity."
46acf440-54ea-4b15-9f84-4d94e52c517f,Attribute,bd413080-1f3f-478d-872e-44f41571e30c,Requirement  to 2-1-c,,,,,,,,"Headquarters are an organization’s global administrative center, the place from which it is controlled or directed"
97874ffb-de89-4833-945c-d68377224d2a,Attribute,bd413080-1f3f-478d-872e-44f41571e30c,Requirement  to 2-1-d,,,,,,,,"If the organization has reported its countries of operation elsewhere, such as in its audited consolidated financial statements or financial information filed on public record, the organization can provide a link or reference to this information. The organization can also report the regions or specific locations within countries (e.g., states, cities) where it has operations, if this provides contextual information for understanding the organization’s impacts"
fb4eb00b-e2ee-456d-b475-079bdc11b566,Object,a1693f3b-4a23-43fa-a532-055c4625f0d9,Disclosure 2-2 Entities included in the organization’s sustainability reporting,,,,,,,,
57bd586b-62bc-429c-8e8c-05e8e06ab9d4,Attribute,fb4eb00b-e2ee-456d-b475-079bdc11b566,Requirement  to 2-2-a,,,,,,,,"The entities reported under 2-2-a form the basis for reporting the disclosures in this Standard and for determining the organization’s material topics. Requirement 2-2-a includes those entities that the organization controls or has an interest in and are included in its sustainability reporting, such as subsidiaries, joint ventures, and affiliates, including minority interests. The organization should report information for the same group of entities as covered in its financial reporting."
6e767a4b-f950-45c9-b0cd-5c9580e1b7b5,Attribute,fb4eb00b-e2ee-456d-b475-079bdc11b566,Requirement  to 2-2-b,,,,,,,,"If all the entities in the organization’s financial reporting are also included in its sustainability reporting, a brief statement of this fact, including a link or reference to the list of entities included in its audited consolidated financial statements or financial information filed on public record, is sufficient to comply with 2-2-a and 2-2-b."
2ada05e7-8c04-4472-a696-811a4f428819,Attribute,fb4eb00b-e2ee-456d-b475-079bdc11b566,Requirement  to 2-2-c (i),,,,,,,,A minority interest is an ownership interest in an entity that is not controlled by the parent entity.
a683e391-8b46-457b-8a95-3632598bde07,Attribute,fb4eb00b-e2ee-456d-b475-079bdc11b566,Requirement  to 2-2-c (ii),,,,,,,,"if the organization consists of multiple entities, explain the approach used for consolidating the information, including: how the approach takes into account mergers, acquisitions, and disposal of
entities or parts of entities"
3094ba4d-3155-41a3-b986-4fca52a1557e,Attribute,fb4eb00b-e2ee-456d-b475-079bdc11b566,Requirement  to 2-2-c (iii),,,,,,,,"if the organization consists of multiple entities, explain the approach used for consolidating the information, including: whether and how the approach differs across the disclosures in this Standard and
across material topics"
29a88a08-aafc-4695-992f-d787722d2788,Object,a1693f3b-4a23-43fa-a532-055c4625f0d9,"Disclosure 2-3 Reporting period, frequency and contact point",,,,,,,,
b4a77db6-696c-4e7a-beba-50f7fdd8402d,Attribute,29a88a08-aafc-4695-992f-d787722d2788,Requirement  to 2-3-a,,,,,,,,"specify the reporting period for, and the frequency of, its sustainability reporting;"
c44948b7-86aa-4c36-a44e-40ae32b6004d,Attribute,29a88a08-aafc-4695-992f-d787722d2788,Requirement  to 2-2-b,,,,,,,,"specify the reporting period for its financial reporting and, if it does not align with the period for its sustainability reporting, explain the reason for this;"
f9be9f3f-fe18-42e3-8fe0-b7c3adf3f419,Attribute,29a88a08-aafc-4695-992f-d787722d2788,Requirement  to 2-2-c,,,,,,,,report the publication date of the report or reported information;
694d9df2-ea8a-477a-8b81-4ccbb8e3e661,Attribute,29a88a08-aafc-4695-992f-d787722d2788,Requirement  to 2-2-d,,,,,,,,specify the contact point for questions about the report or reported information
5f10cdac-f090-481d-9b2e-61878adaff9f,Object,a1693f3b-4a23-43fa-a532-055c4625f0d9,Disclosure 2-4 Restatements of information,,,,,,,,
430d4e82-a071-4727-bfb8-1adf67295f40,Attribute,5f10cdac-f090-481d-9b2e-61878adaff9f,Requirement  to 2-4-a(i),,,,,,,,report restatements of information made from previous reporting periods and explain: the reasons for the restatements
5628421f-a299-425f-b42f-0fd3a4654e38,Attribute,5f10cdac-f090-481d-9b2e-61878adaff9f,Requirement  to 2-4-a(ii),,,,,,,,report restatements of information made from previous reporting periods and explain: the effect of the restatements
bc3c9f5e-1d42-4dc8-8e61-49b459d37b35,Object,a1693f3b-4a23-43fa-a532-055c4625f0d9,Disclosure 2-5 External assurance,,,,,,,,
47d6ce06-bac1-423e-9bc0-efac623fe065,Attribute,bc3c9f5e-1d42-4dc8-8e61-49b459d37b35,Requirement  to 2-5-a,,,,,,,,"describe its policy and practice for seeking external assurance, including whether and how the highest governance body and senior executives are involved;"
5d2668d2-6bda-40eb-980c-277e94331c70,Attribute,bc3c9f5e-1d42-4dc8-8e61-49b459d37b35,Requirement  to 2-5-b(i),,,,,,,,provide a link or reference to the external assurance report(s) or assurance statement(s)
fa090983-c4f8-4b22-baf1-20c87d566d11,Attribute,bc3c9f5e-1d42-4dc8-8e61-49b459d37b35,Requirement  to 2-5-b(ii),,,,,,,,"describe what has been assured and on what basis, including the assurance standards used, the level of assurance obtained, and any limitations of the assurance process"
