ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,EBA_P3_Map?,SASB_Map?,Description,TCFD_Map?
aa1e75b6-edb5-4223-bbf8-a55206ca8666,Layer,,ISSB - S1: General Requirements for Disclosure of Sustainability-related Financial Information,,,,,,,,,,,,
49a609bb-bc55-4079-b0f5-74f4c11cb138,Object,aa1e75b6-edb5-4223-bbf8-a55206ca8666,Governance,,,,,,,,,,,,
932e0ee5-0599-471b-9510-d3a9b23464e8,Attribute,49a609bb-bc55-4079-b0f5-74f4c11cb138,S1.13a,,,,,,,,Qualitative,No,No,the identity of the body or individual within a body responsible for oversight of sustainability-related risks and opportunities,No
01d42b7a-cc9f-418e-9beb-d1f27347ad59,Attribute,49a609bb-bc55-4079-b0f5-74f4c11cb138,S1.13b,,,,,,,,Qualitative,No,No,"how the body’s responsibilities for sustainability-related risks and opportunities are reflected in the entity’s terms of reference, board mandates and other related policies",No
3a4ac9ad-6a53-4299-830b-fc79112758db,Attribute,49a609bb-bc55-4079-b0f5-74f4c11cb138,S1.13c,,,,,,,,Qualitative,No,No,how the body ensures that the appropriate skills and competencies are available to oversee strategies designed to respond to sustainabilityrelated risks and opportunities,No
9574ce87-216d-4f03-89b8-51b46c70c7e0,Attribute,49a609bb-bc55-4079-b0f5-74f4c11cb138,S1.13d,,,,,,,,Qualitative,No,No,"how and how often the body and its committees (audit, risk or other committees) are informed about sustainability-related risks and opportunities",No
88f1c36c-2994-4c75-b612-9233d806459d,Attribute,49a609bb-bc55-4079-b0f5-74f4c11cb138,S1.13e,,,,,,,,Qualitative,No,No,"how the body and its committees consider sustainability-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions, and its risk management policies, including any assessment of trade-offs and analysis of sensitivity to uncertainty that may be required",No
faa1ef53-de87-40ee-a583-3aa517a27ca6,Attribute,49a609bb-bc55-4079-b0f5-74f4c11cb138,S1.13f,,,,,,,,Qualitative,No,No,"how the body and its committees oversee the setting of targets related to significant sustainability-related risks and opportunities, and monitor progress towards them (see paragraphs 27–35), including whether and how related performance metrics are included in remuneration policies",No
620e9a34-f707-4585-9909-7144c3cfff1f,Attribute,49a609bb-bc55-4079-b0f5-74f4c11cb138,S1.13g,,,,,,,,Qualitative,No,No,"a description of management’s role in assessing and managing sustainability-related risks and opportunities, including whether that role is delegated to a specific management-level position or committee and how oversight is exercised over that position or committee. The description shall include information about whether dedicated controls and procedures are applied to management of sustainabilityrelated risks and opportunities and, if so, how they are integrated with other internal functions",No
10469ac5-0873-4902-b0bb-522ef9022c8a,Object,aa1e75b6-edb5-4223-bbf8-a55206ca8666,Strategy,,,,,,,,,,,,
6d3a48c8-981d-41b7-8465-14de5e4a5c10,Attribute,10469ac5-0873-4902-b0bb-522ef9022c8a,S1.16a,,,,,,,,Qualitative,No,No,"a description of significant sustainability-related risks and opportunities and the time horizon over which each could reasonably be expected to affect its business model, strategy and cash flows, its access to finance and its cost of capital, over the short, medium or long term",No
dbf8afc7-76f9-4f1d-ac82-0096276d4d27,Attribute,10469ac5-0873-4902-b0bb-522ef9022c8a,S1.16b,,,,,,,,Qualitative,No,No,"how it defines short, medium and long term and how these definitions are linked to the entity’s strategic planning horizons and capital allocation plans.",No
