ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Name (ISSB_v20220331),Description,TCFD_Map?,EBA_P3_Map?,SEC_Map?,SASB_Map?
544212a4-19bc-451f-a63c-c6dd8f3fb8cb,Layer,,IFRS S1: General Requirements for Disclosure of Sustainability-related Financial Information,,,,,,,,ISSB - S1: General Requirements for Disclosure of Sustainability-related Financial Information,,,,,
333359ad-a60c-457a-87da-5ad82e0fb693,Object,544212a4-19bc-451f-a63c-c6dd8f3fb8cb,Governance,,,,,,,,Governance,,,,,
521538a3-456b-48da-80f2-4a9501a86c9b,Attribute,333359ad-a60c-457a-87da-5ad82e0fb693,26,,,,,,,,,"The objective of sustainability-related financial disclosures on governance is to enable users of general purpose financial reports to understand the governance processes, controls and procedures an entity uses to monitor, manage and oversee sustainability-related risks and opportunities.",,,,
860d5113-fad4-4af3-8e53-aa0adb9ef1eb,Group,333359ad-a60c-457a-87da-5ad82e0fb693,27,,,,,,,,,"To achieve this objective, an entity shall disclose information about:",,,,
31389820-3663-4dba-b5fa-426882b90742,Group,860d5113-fad4-4af3-8e53-aa0adb9ef1eb,(a),,,,,,,,S1.13a,"the governance body(s) (which can include a board, committee or equivalent body charged with governance) or individual(s) responsible for oversight of sustainability-related risks and opportunities. Specifically, the entity shall identify that body(s) or individual(s) and disclose information about:",,,,
b11124e8-a364-4055-a33e-a932a6c65172,Attribute,31389820-3663-4dba-b5fa-426882b90742,(i),,,,,,,,S1.13b,"how responsibilities for sustainability-related risks and opportunities are reflected in the terms of reference, mandates, role descriptions and other related policies applicable to that body(s) or individual(s);",,,,
57f19dad-ea05-4121-b195-0b05af684b4f,Attribute,31389820-3663-4dba-b5fa-426882b90742,(ii),,,,,,,,S1.13c,how the body(s) or individual(s) determines whether appropriate skills and competencies are available or will be developed to oversee strategies designed to respond to sustainability-related risks and opportunities;,,,,
b725fdd1-f565-4db1-b56f-8ecdf78c69ad,Attribute,31389820-3663-4dba-b5fa-426882b90742,(iii),,,,,,,,S1.13d,how and how often the body(s) or individual(s) is informed about sustainability-related risks and opportunities;,,,,
320922c0-c1b9-47c1-af61-becf74e62e9f,Attribute,31389820-3663-4dba-b5fa-426882b90742,(iv),,,,,,,,S1.13e,"how the body(s) or individual(s) takes into account sustainability-related risks and opportunities when overseeing the entity’s strategy, its decisions on major transactions and its risk management processes and related policies, including whether the body(s) or individual(s) has considered trade-offs associated with those risks and opportunities; and",,,,
1fad6ea9-6dca-4e83-99d1-2a2803ab1867,Attribute,31389820-3663-4dba-b5fa-426882b90742,(v),,,,,,,,S1.13f,"how the body(s) or individual(s) oversees the setting of targets related to sustainability-related risks and opportunities, and monitors progress towards those targets (see paragraph 51), including whether and how related performance metrics are included in remuneration policies.",,,,
85c14a53-3774-4179-a9f1-446040d93822,Group,860d5113-fad4-4af3-8e53-aa0adb9ef1eb,(b),,,,,,,,S1.13g,"management’s role in the governance processes, controls and procedures used to monitor, manage and oversee sustainability-related risks and opportunities, including information about:",,,,
b1847abc-6a3c-4937-aa68-9c41ebb7bcc8,Attribute,85c14a53-3774-4179-a9f1-446040d93822,(i),,,,,,,,,whether the role is delegated to a specific management-level position or management-level committee and how oversight is exercised over that position or committee; and,,,,
fab1bb0e-5f2c-46ca-941c-e9ba615237dc,Attribute,85c14a53-3774-4179-a9f1-446040d93822,(ii),,,,,,,,,"whether management uses controls and procedures to support the oversight of sustainability-related risks and opportunities and, if so, how these controls and procedures are integrated with other internal functions.",,,,
7de1da8b-759d-4bf3-b2c4-46512430b47d,Object,544212a4-19bc-451f-a63c-c6dd8f3fb8cb,Strategy,,,,,,,,Strategy,,,,,
d17a6fbb-07ea-40fa-b383-9338b9e8568c,Attribute,7de1da8b-759d-4bf3-b2c4-46512430b47d,28,,,,,,,,,The objective of sustainability-related financial disclosures on strategy is to enable users of general purpose financial reports to understand an entity’s strategy for managing sustainability-related risks and opportunities.,,,,
