ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Comments,Connected to other Frameworks,Footnotes,KPI,Unit of Measure,Example,Rationale,Alignment with Other Reporting Frameworks,EU Policy Reference
422b7c9b-40f9-4ece-ba15-6871f7dcb28d,Layer,,NFRD,,,,,,,,,,,,,,,,
fd3c5bfe-57e6-43b9-9b98-ae834ea6571c,Object,422b7c9b-40f9-4ece-ba15-6871f7dcb28d,3.1.   Business Model,,,,,,,,,,,,,,,,
37a9a2c1-6e70-4f17-9732-7627e496a3e7,Group,fd3c5bfe-57e6-43b9-9b98-ae834ea6571c,Disclosure on Business Model,,,,,,,,,,,,,,,,
98482713-1463-4a96-89f1-eae2e7249c33,Attribute,37a9a2c1-6e70-4f17-9732-7627e496a3e7,1,,,,,,,,"Describe the impact of climate-related risks and opportunities on the company's business model, strategy and financial planning.",TCFD recommendation Strategy b,,,,,,,
18083dea-e3ba-4993-a373-f782db612704,Attribute,37a9a2c1-6e70-4f17-9732-7627e496a3e7,2,,,,,,,,"Describe the ways in which the company’s business model can impact the climate, both positively and negatively.",,,,,,,,
d58afec3-de79-4878-969a-7a395c2c759d,Attribute,37a9a2c1-6e70-4f17-9732-7627e496a3e7,3,,,,,,,,"Describe the resilience of the company’s business model and strategy, taking into consideration different climate-related scenarios over different time horizons, including at least a 2 °C or lower scenario and a greater than 2 °C scenario (20).",TCFD recommendation Strategy c,"(20)  Companies are encouraged to consider a 1,5 °C scenario, in light of the conclusions of the IPCC 2018 Special Report. For further information on how to conduct a scenario analysis to assess the strategic resilience of a company, see TCFD’s Technical Supplement “The Use of Scenario Analysis in Disclosure of Climate-related Risks and Opportunities”",,,,,,
88c25cbc-3be9-4017-8f91-04da93b70cda,Group,fd3c5bfe-57e6-43b9-9b98-ae834ea6571c,Further Guidance,,,,,,,,,,,,,,,,
eb914bfb-00e5-48c9-8408-28061eb19a0e,Attribute,88c25cbc-3be9-4017-8f91-04da93b70cda,1,,,,,,,,Describe any changes in the company’s business model and strategy to address transition and physical risks and to take advantage of climate-related business opportunities.,,,,,,,,
2796fea7-801e-4225-bea5-3b8a0570e84c,Attribute,88c25cbc-3be9-4017-8f91-04da93b70cda,2,,,,,,,,"Describe the company’s dependencies on natural capitals, such as water, land, ecosystems or biodiversity that are at risk because of climate change.",,,,,,,,
81165c6f-7d37-40e7-8b21-28289fee013a,Attribute,88c25cbc-3be9-4017-8f91-04da93b70cda,3,,,,,,,,Describe how any changes in the company’s business model and strategy to address climate change mitigation and/or adaptation will change the company’s human capital needs.,,,,,,,,
df79d7c2-f1ee-4df2-834c-ba8e02d06fc4,Attribute,88c25cbc-3be9-4017-8f91-04da93b70cda,4,,,,,,,,"Describe opportunities related to resource efficiency and cost savings, the adoption of low-emission energy sources, the development of new products and services, access to new markets, and building resilience along the value chain.",,,,,,,,
702f17cf-ea76-4af9-bed1-3f3cf4a939e8,Attribute,88c25cbc-3be9-4017-8f91-04da93b70cda,5,,,,,,,,Disclose how the company has selected scenarios.,,,,,,,,
