ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,DESCRIPTION
d95d55c0-222e-4e83-abae-902d906f6151,Layer,,PCAF,,,,,,,,
39a48fe9-0dd7-4ed9-973e-e8d932e91272,Object,d95d55c0-222e-4e83-abae-902d906f6151,Overall Reporting Requirements and Recommendations,,,,,,,,
c7d4c8e4-4234-42c2-a6ac-aa9922699401,Attribute,39a48fe9-0dd7-4ed9-973e-e8d932e91272,Requirement 1,,,,,,,,"Principles: GHG accounting and reporting of financial institutions shall be based on the following principles: relevance, completeness, consistency, transparency, and accuracy."
c3eb0b6d-e52c-4841-9df2-c6647617a38f,Attribute,39a48fe9-0dd7-4ed9-973e-e8d932e91272,Requirement 2,,,,,,,,"Purpose: A financial institution’s reporting should align with its specific business goals; for instance, for identifying and managing climate-related transition risks or for steering toward a specific emissions reduction target."
1213f9e6-b477-4b00-bdd7-a169bd485319,Attribute,39a48fe9-0dd7-4ed9-973e-e8d932e91272,Requirement 3,,,,,,,,Frequency: Financial institutions shall disclose at least annually and at a fixed point in time in line with the financial accounting cycle. Financial institutions shall ensure that the chosen point in time provides a representative view on the emissions for that reporting year and shall transparently disclose if large changes close to (before/after) the reporting date affected the results.
cf35c814-a082-4807-aced-50350ad8965b,Attribute,39a48fe9-0dd7-4ed9-973e-e8d932e91272,Requirement 4,,,,,,,,"Recalculation and significance threshold: Financial institutions shall, in line with the GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard requirement (pg. 104162), establish a baseline recalculation policy to define under which circumstances a recalculating of (base year) financed emissions is necessary to ensure the consistency, comparability, and relevance of the reported GHG emissions data over time. As part of this base year emissions recalculation policy, financial institutions shall establish and disclose the significance threshold163 that triggers base year emissions recalculations."
da50a2e6-d417-402c-ad2c-5d3458ec84bd,Attribute,39a48fe9-0dd7-4ed9-973e-e8d932e91272,Requirement 5,,,,,,,,"Form of reporting: Financial institutions shall disclose in publicly available reports such as (semi) annual reports, website articles, or other publicly available sources as deemed appropriate by the financial institution. Annex 10.2 provides an example template for how financial institutions can disclose their financed emissions."
dfb4a3e6-7724-42e2-b3c2-dedf0811ae84,Attribute,39a48fe9-0dd7-4ed9-973e-e8d932e91272,Requirement 6,,,,,,,,"Past performance: Where appropriate and relevant for their business goals, financial institutions should disclose their financed emissions for multiple comparable time periods (e.g., years)."
bcd41808-5582-41e9-8f7a-8779fdcf7980,Object,d95d55c0-222e-4e83-abae-902d906f6151,Coverage,,,,,,,,
db10abfa-82a4-4260-ad9e-7a120a935308,Attribute,bcd41808-5582-41e9-8f7a-8779fdcf7980,Requirement 1,,,,,,,,"Financial institutions shall disclose all absolute emissions for all of the relevant asset classes or sectors164 covered in Chapter 5 and justify any exclusions. Potential justification criteria for exclusion are: - Data availability: Required data is not available to the financial institutions. - Size: The activities are insignificant to the institution’s total anticipated financed emissions. - Methodology: There is no global methodology to quantify the financed emissions of specific activities (i.e., asset classes not covered in this Standard)."
