ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Title,Quant_Qual
6edeffab-a938-4f5e-8b8a-7b28cf6e480b,Layer,,SASB,,,,,,,,,
d596846c-21d6-4d09-b190-8fe9c66504e4,Object,6edeffab-a938-4f5e-8b8a-7b28cf6e480b,B15 - Asset Management and Custody Activities,,,,,,,,,
66638d57-64bc-43b6-9c5f-fa75c396095d,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-270a.1,,,,,,,,"Amount of assets under management, by asset class, that employ (1) integration by environmental, social and governance issues, (2) sustainability themed investing, and (3) screening",Quantitative
fd02909a-4571-4ce6-8ef1-d3f8b1529f6c,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-270a.2,,,,,,,,"Description of approach to incorporation of environmental, social, and governance factors in investment and/or wealth management processes and strategies",Quantitative
5e5b62dc-e8d6-4996-b5e3-2f7d8afc0a9b,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-270a.3,,,,,,,,Description of proxy voting and investee engagement policies and procedures,Qualitive
daafdf7e-e2aa-42af-ab27-f8c24b9de44b,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-330a.1,,,,,,,,Percentage of total assets under management (AUM) included in the financed emissions calculation,Quantitative
68654f98-4a09-48f0-bb6a-4eeb15ad1576,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-410a.1,,,,,,,,"(1) Absolute gross (a) Scope 1 emissions, Scope (b) emissions, and (c) Scope 3 emissions, and (2) associated amount of total AUM(i.e. financed emissions)",Quantitative
2983e8cf-b0df-4d67-8678-3d82582e281d,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-410a.2,,,,,,,,"(1) Gross emissions intensity by (a) Scope 1 emissions, (b) Scope 2 emissions, and (c) Scope 3 emissions, and (2) associated amount of total AUM (i.e. financed emissions)",Qualitive
816bf7d4-e803-4edc-8791-46b704b7b052,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-410a.3,,,,,,,,Description of methodology used to calculate financed emissions,Qualitive
db6842e8-5e02-42cc-8329-80a51ef4fd07,Attribute,d596846c-21d6-4d09-b190-8fe9c66504e4,FN-AC-510a.1,,,,,,,,(1) Total registered and (2) total unregistered assets under management (AUM),Quantitative
