ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Criteria
cfc8fe85-9121-447b-af12-babc6c07a5d3,Layer,,SBTi,,,,,,,,
a89b90f3-483f-441a-860f-2f4fe31c5217,Object,cfc8fe85-9121-447b-af12-babc6c07a5d3,GHG Emissions Inventory and Target Boundary,,,,,,,,
e33d2978-ac55-41d8-9d4b-41458b659b8a,Group,a89b90f3-483f-441a-860f-2f4fe31c5217,Target boundary,,,,,,,,
68d43418-fb4d-4a1e-aae3-7d894592675b,Attribute,e33d2978-ac55-41d8-9d4b-41458b659b8a,C1 - Organizational Boundary,,,,,,,,"It is recommended that companies submit targets only at the parent- or group-level, not at the subsidiary level. Parent companies must include the emissions of all subsidiaries in their target submission, in accordance with boundary criteria above. In cases where both parent companies and subsidiaries submit targets2 , the parent company’s target must also include the emissions of the subsidiary if it falls within the parent company’s emissions boundary given the chosen inventory consolidation approach"
ce17ac35-55cd-4f2f-a9f2-27ad9ee122bb,Attribute,e33d2978-ac55-41d8-9d4b-41458b659b8a,R1 - Setting organizational boundaries,,,,,,,,"The SBTi recommends that a company's organizational boundary, as defined by the GHG Protocol Corporate Standard, is consistent with the organizational boundary used in the company’s financial accounting and reporting procedures."
59ae02a6-8e41-44ea-b0c0-7704690a86f3,Group,a89b90f3-483f-441a-860f-2f4fe31c5217,GHG Coverage,,,,,,,,
cc6b7831-20c4-4de7-84b4-35f97bd9b652,Attribute,59ae02a6-8e41-44ea-b0c0-7704690a86f3,C2 - Greenhouse Gases,,,,,,,,The targets must cover all relevant GHGs as required per the GHG Protocol Corporate Standard.
042496b1-ad87-445c-b1a4-99497c6025ff,Group,a89b90f3-483f-441a-860f-2f4fe31c5217,Scope Coverage,,,,,,,,
d6c39100-462a-41fe-a4bf-a88977d6068f,Attribute,042496b1-ad87-445c-b1a4-99497c6025ff,C3 - Scope 1 and Scope 2,,,,,,,,"The targets must cover company-wide scope 1 and scope 2 emissions, as defined by the GHG Protocol Corporate Standard."
aa060664-3f1a-4d3d-a368-7833654dc7b1,Attribute,042496b1-ad87-445c-b1a4-99497c6025ff,C4 - Requirement to have a scope 3 target,,,,,,,,"If a company’s relevant scope 3 emissions are 40% or more of total scope 1, 2, and 3 emissions, a scope 3 target is required. All companies involved in the sale or distribution of natural gas and/or other fossil fuels shall set scope 3 targets for the use of sold products, irrespective of the share of these emissions compared to the total scope 1, 2, and 3 emissions of the company."
e65e4b7e-10d4-4f7b-8b19-9bc34f43525e,Group,a89b90f3-483f-441a-860f-2f4fe31c5217,Emissions Coverage,,,,,,,,
a81ed398-bf3a-4ad4-8f9b-c99270e16766,Attribute,e65e4b7e-10d4-4f7b-8b19-9bc34f43525e,C5 - Scope 1 and 2 significance thresholds,,,,,,,,Companies may exclude up to 5% of scope 1 and scope 2 emissions combined in the boundary of the inventory and target
dbea18b5-f37a-485e-9448-0ba4f41e774a,Attribute,e65e4b7e-10d4-4f7b-8b19-9bc34f43525e,C6 - Scope 3 emissions coverage for near-term targets,,,,,,,,Companies must set one or more emission reduction targets and/or supplier or customer engagement targets that collectively cover(s) at least two-thirds (67%) of total scope 3 emissions considering the minimum boundary of each scope 3 category in conformance with the GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard.
82c98564-d188-45a2-8053-7d661799f25a,Attribute,e65e4b7e-10d4-4f7b-8b19-9bc34f43525e,R2 - Targets covering optional scope 3 emissions,,,,,,,,"Targets to reduce scope 3 emissions that fall outside the minimum boundary4 of scope 3 categories are not required, but are encouraged when these emissions are significant. This can include targets to influence the behavior of endusers (e.g. education campaigns) or to drive the adoption of science-based targets on customers (e.g. customer engagement targets). Companies may cover these emissions with a scope 3 target, but such targets cannot count towards the two-thirds threshold defined in C6 for scope 3 emissions (i.e., these targets are above and beyond the company’s scope 3 targets). For reference, consult page 48 in the GHG Protocol Scope 3 Standard and the Target Validation Protocol for a list of products that generate direct and indirect use-phase emissions."
6ed46eee-85f4-4932-8ced-4f6bb4ddf806,Object,cfc8fe85-9121-447b-af12-babc6c07a5d3,Method Validity,,,,,,,,
91be2e5c-3172-40ea-a5db-1d44b757cf2d,Attribute,6ed46eee-85f4-4932-8ced-4f6bb4ddf806,C7 - Method validity,,,,,,,,Targets must be modelled using the latest version of methods and tools approved by the initiative. Targets modelled using previous versions of the tools or methods can only be submitted to the SBTi for validation within 6 months of the publication of the revised method or the publication of relevant sector-specific tools
e27ab231-ae2d-4f4b-ae66-a7de15fbf580,Object,cfc8fe85-9121-447b-af12-babc6c07a5d3,Emissions accounting requirements,,,,,,,,
cde7c394-d37f-45ce-a156-1d54412e0095,Attribute,e27ab231-ae2d-4f4b-ae66-a7de15fbf580,C8  - Scope 2 accounting approach,,,,,,,,"Companies shall disclose whether they are using a location- or market-based accounting approach as per the GHG Protocol Scope 2 Guidance to calculate base year emissions and to track performance against a science-based target. GHG Protocol requires measuring and reporting scope 2 emissions using both approaches. However, a single and consistent approach shall be used for setting and tracking progress toward a SBT (e.g., using location-based approach for both target setting and progress tracking)."
e47d2e97-9016-425c-a400-678976cd8331,Attribute,e27ab231-ae2d-4f4b-ae66-a7de15fbf580,C9 - Scope 3 screening,,,,,,,,Companies must complete a scope 3 inventory covering gross scope 3 emissions for all its emissions sources as set out as the minimum boundary5 of each scope 3 category per the GHG Protocol Corporate Value Chain (Scope 3) Accounting and Reporting Standard.
7e4bb3a5-9843-44ed-a2cc-1a9b8e384bea,Attribute,e27ab231-ae2d-4f4b-ae66-a7de15fbf580,C10 - Bioenergy accounting,,,,,,,,"CO2 emissions from the combustion, processing and distribution phase of bioenergy and the land use emissions and removals6 associated with bioenergy feedstocks, shall be reported alongside a company’s GHG inventory. Furthermore, CO2 emissions from the combustion, processing and distribution phase of bioenergy and the land use emissions and removals associated with bioenergy feedstocks shall be included in the target boundary when setting a science-based target (in scopes 1, 2, and/or 3, as relevant) and when reporting progress against that target. Land-related emissions accounting shall include CO2 emissions from direct land use change
(LUC) and non-LUC emissions, inclusive of N2O and CH4 emissions from land use
management. Including emissions associated with indirect LUC is optional.

Companies are expected to adhere to any additional GHG Protocol Guidance on bioenergy
accounting when released in order to maintain compliance with criterion 10"
88c058ca-c0fe-480a-b1e3-e2ad7848e363,Attribute,e27ab231-ae2d-4f4b-ae66-a7de15fbf580,C11 - Carbon credits,,,,,,,,"The use of carbon credits must not be counted as emission reductions toward the progress of companies’ near-term science-based targets. Carbon credits may only be considered to be an option for neutralizing residual emissions (see Net-Zero C30) or to finance additional climate mitigation beyond their science-based emission reduction targets
(see Net-Zero R3)."
42a25787-89fc-40ba-8e77-1f34ade3f2b4,Attribute,e27ab231-ae2d-4f4b-ae66-a7de15fbf580,C12 - Avoided emissions,,,,,,,,Avoided emissions fall under a separate accounting system from corporate inventories and do not count toward science-based targets.
6fa27ee0-d6ae-4d98-9375-72bf64ad00af,Attribute,e27ab231-ae2d-4f4b-ae66-a7de15fbf580,R3 - Biofuel certification,,,,,,,,The SBTi recommends that companies using or producing biofuel(s) for transport should support their bioenergy GHG accounting with recognized biofuel certification(s) to disclose that the data on land-related emissions and removals represents the relevant biofuel feedstock production
0d954566-f4d4-4cea-ad2a-258e25dfb5e6,Attribute,e27ab231-ae2d-4f4b-ae66-a7de15fbf580,R4 - Bioenergy data reporting,,,,,,,,"The SBTi recommends that companies report direct biogenic CO2 emissions and removals from bioenergy separately. Emissions and removals of CO2 associated with bioenergy shall be reported as net emissions according to C10, at a minimum, but companies are encouraged to also report gross emissions and gross removals from bioenergy feedstocks."
d86acf54-52b0-4e7c-80db-7a9e38d3be77,Object,cfc8fe85-9121-447b-af12-babc6c07a5d3,Target Formulation,,,,,,,,
389abe12-02c2-4b76-95cf-d08617ab69d8,Group,d86acf54-52b0-4e7c-80db-7a9e38d3be77,Timeframe,,,,,,,,
57559f56-1507-4ae3-aca0-8b242ce8e5e1,Attribute,389abe12-02c2-4b76-95cf-d08617ab69d8,C13 - Base and target years,,,,,,,,Targets must cover a minimum of 5 years and a maximum of 10 years from the date the target is submitted to the SBTi for validation7 . The choice of base year must be no earlier than 2015.
cc3a44cc-b8a5-4614-874b-fe51916c462f,Attribute,389abe12-02c2-4b76-95cf-d08617ab69d8,C14 - Progress to date,,,,,,,,"The minimum forward-looking ambition of targets is consistent with reaching net-zero by 2050, assuming a linear absolute reduction, linear intensity reduction, or intensity convergence between the most recent year and 2050 (not increasing absolute emissions or intensity)"
fe826b5f-0951-4433-b404-62c4ad5081ab,Attribute,389abe12-02c2-4b76-95cf-d08617ab69d8,R5 - Long-term target year,,,,,,,,"Targets that cover more than 10 years from the date of submission are considered long-term targets. Companies are encouraged to develop such long-term targets up to 2050 in addition to near-term targets required by C13 (see Net-Zero C17). At a minimum, long-term targets must be consistent with the level of decarbonization required to keep global temperature increase to 1.5°C compared to pre-industrial temperatures to be validated and recognized by the SBTi."
c0ab173e-5c8b-46d0-8ff4-9a0eec1c7cd4,Attribute,389abe12-02c2-4b76-95cf-d08617ab69d8,R6 - Consistency,,,,,,,,It is recommended that companies use the same base years for all nearterm targets
4058d984-15ac-4dfd-8a55-0df55ac08f70,Object,cfc8fe85-9121-447b-af12-babc6c07a5d3,Ambition,,,,,,,,
ef3e766d-f68b-495c-a53f-3adef720a735,Group,4058d984-15ac-4dfd-8a55-0df55ac08f70,Scope 1 and 2 Near Term Targets,,,,,,,,
f49b741f-d2f2-48df-a0a3-f9ff78d88bca,Attribute,ef3e766d-f68b-495c-a53f-3adef720a735,C15 - Level of ambition for scope 1 and 2 targets,,,,,,,,"At a minimum, scope 1 and scope 2 targets must be consistent with the level of decarbonization required to keep global temperature increase to 1.5°C compared to pre-industrial temperatures."
54b8870c-56e5-4093-b4fb-46e3ff822753,Attribute,ef3e766d-f68b-495c-a53f-3adef720a735,C16 - Absolute targets,,,,,,,,Absolute reductions must be at least as ambitious as the minimum of the approved range of emissions scenarios consistent with the 1.5°C goal.
9f725f21-6b2b-4fc4-aaf2-c6a484b83ce1,Attribute,ef3e766d-f68b-495c-a53f-3adef720a735,C17 - Intensity targets,,,,,,,,Intensity targets for scope 1 and scope 2 emissions are only eligible when they are modelled using an approved 1.5°C sector pathway applicable to companies’ business activities.
74315d0d-6284-46bd-a5e6-294535f87bbc,Attribute,ef3e766d-f68b-495c-a53f-3adef720a735,R7 - Choosing an approach,,,,,,,,The SBTi recommends using the most ambitious decarbonization scenarios that lead to the earliest reductions and the least cumulative emissions.
7c317726-1d42-4083-8de1-b2ad3fb8c08e,Group,4058d984-15ac-4dfd-8a55-0df55ac08f70,Scope 3 near-term targets,,,,,,,,
1741b825-a1ae-413c-ae5c-7fef08f3d443,Attribute,7c317726-1d42-4083-8de1-b2ad3fb8c08e,C18 - Level of ambition for scope 3 emissions reductions targets,,,,,,,,"At a minimum, near-term scope 3 targets (covering the entire value chain or individual scope 3 categories) must be aligned with methods consistent with the level of decarbonization required to keep global
temperature increase well-below 2°C compared to pre-industrial temperatures."
c24f8d95-bc75-4640-837a-426888a1d71e,Attribute,7c317726-1d42-4083-8de1-b2ad3fb8c08e,C19 - Supplier or customer engagement targets,,,,,,,,"Near-term targets to drive the adoption of science-based emission reduction targets by their suppliers and/or customers are in conformance with SBTi criteria when the following conditions are met: ● Boundary: Companies may set engagement targets around relevant and credible upstream or downstream categories. ● Formulation: Companies shall provide information in the target language on what percentage of emissions from relevant upstream and/or downstream categories is covered by the engagement target or, if that information is not available, what percentage of annual procurement spend is covered by the target. 9 ● Timeframe: Companies’ engagement targets must be fulfilled within a maximum of 5 years from the date the company’s target is submitted to the SBTi for an official validation.10 ● Level of ambition: The company’s suppliers/customers shall have science-based emission reduction targets in line with SBTi resources"
16412baf-07bc-4628-9a00-4f3000fd713e,Attribute,7c317726-1d42-4083-8de1-b2ad3fb8c08e,R8 - Supplier engagement,,,,,,,,"Companies should recommend that their suppliers use the SBTi guidance and tools available to set science-based targets. SBTi validation of supplier sciencebased targets is recommended but not required. It is recommended that suppliers classified as small- and medium-sized enterprises (SMEs), submit targets through the SME streamlined route."
225c1490-b275-4594-88d1-fc9dab30575d,Group,4058d984-15ac-4dfd-8a55-0df55ac08f70,"Combined Targets ",,,,,,,,
f0860c87-4067-4276-8fd7-4ff83b48a66c,Attribute,225c1490-b275-4594-88d1-fc9dab30575d,C20 - Combined scope targets,,,,,,,,"Targets that combine scopes (e.g. 1+2 or 1+2+3) are permitted. When submitting combined targets, the scope 1+2 portion must be in line with at least a 1.5°C scenario and the scope 3 portion of the target must be in line with at least a wellbelow 2°C scenario. For sectors where minimum target ambition is further specified for companies’ scope 3 activities, C24 supersedes C20."
1f0d28f3-ce8b-4e5a-8f91-98d9d4a21bc4,Group,4058d984-15ac-4dfd-8a55-0df55ac08f70,Renewable Electricty Targets,,,,,,,,
