ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description
cd65e7e0-75d5-4aee-acc7-04a515f15086,Layer,,SEC Climate-related Disclosures,,,,,,,,
76777e86-dd84-4f20-83aa-6aa7c4c30100,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,A. Overview of the Climate-Related Disclosure Framework,,,,,,,,
f968db1c-0246-49f4-838b-86b98a0fa663,Attribute,76777e86-dd84-4f20-83aa-6aa7c4c30100,1. Proposed TCFD-Based Disclosure Framework,,,,,,,,See page 46 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
8aa582d9-2e32-4251-82a8-d3402ba8968c,Attribute,76777e86-dd84-4f20-83aa-6aa7c4c30100,2. Location of the Climate-Related Disclosure,,,,,,,,See page 50 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
4067552c-20e1-4d90-a0a8-32f8968ae338,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,B. Disclosure of Climate-Related Risks,,,,,,,,
de216cdb-19b3-4032-a075-1eceba71526e,Attribute,4067552c-20e1-4d90-a0a8-32f8968ae338,1. Definitions of Climate-Related Risks and Climate-Related Opportunities,,,,,,,,See page 56 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
c8ffaa4a-0b53-4560-98a5-1d7a3aef11bc,Attribute,4067552c-20e1-4d90-a0a8-32f8968ae338,2. Proposed Time Horizons and the Materiality Determination,,,,,,,,See page 63 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
3742edf9-8e82-4647-a1bf-f3c50e796d25,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",,,,,,,,
48260b22-06f1-4729-a98e-3c2ac71a8a6c,Attribute,3742edf9-8e82-4647-a1bf-f3c50e796d25,1. Disclosure of Material Impacts,,,,,,,,See page 72 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
cd2893f9-8e21-4753-899f-2b5efc7bb81e,Attribute,3742edf9-8e82-4647-a1bf-f3c50e796d25,2. Disclosure of Carbon Offsets or Renewable Energy Credits If Used,,,,,,,,See page 77 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
d7046313-f863-4e26-b740-3a2e5c6d3e07,Attribute,3742edf9-8e82-4647-a1bf-f3c50e796d25,3. Disclosure of a Maintained Internal Carbon Price,,,,,,,,See page 79 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
da55528d-bf4c-4ae4-b282-f6b353140967,Attribute,3742edf9-8e82-4647-a1bf-f3c50e796d25,"4. Disclosure of Scenario Analysis, if Used",,,,,,,,See page 83 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
8efe504f-5974-404e-9557-2c1a339a9dbe,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,D. Governance Disclosure,,,,,,,,
3c7fa6bb-758d-4557-b85f-e0ea1f612d87,Attribute,8efe504f-5974-404e-9557-2c1a339a9dbe,1. Board Oversight,,,,,,,,See page 94 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
62db3be0-23f6-4488-a5b1-8c359c50adb7,Attribute,8efe504f-5974-404e-9557-2c1a339a9dbe,2. Management Oversight,,,,,,,,See page 96 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
3779280e-dcd6-4425-a1be-53f7fb8d7761,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,E. Risk Management Disclosure,,,,,,,,
a5fc600a-acea-475a-beaf-b46c89836708,Attribute,3779280e-dcd6-4425-a1be-53f7fb8d7761,"1. Disclosure of Processes for Identifying, Assessing, and Managing Climate-Related Risks",,,,,,,,See page 100 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
77e5d08c-cbcd-4510-982d-a56ac738ca3c,Attribute,3779280e-dcd6-4425-a1be-53f7fb8d7761,2. Transition Plan Disclosure,,,,,,,,See page 102 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
62b1af07-fc2c-43fb-a70b-0233e9f7aea8,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,F. Financial Statement Metrics,,,,,,,,
2098bd1b-ddde-4dc8-b3fd-d07890330814,Attribute,62b1af07-fc2c-43fb-a70b-0233e9f7aea8,1. Overview,,,,,,,,See page 110 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
5eaf0606-8b59-4155-8b2d-91ba2bc2708a,Attribute,62b1af07-fc2c-43fb-a70b-0233e9f7aea8,2. Financial Impact Metrics,,,,,,,,See page 116 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
4c2d5f5e-9f34-4751-8c0b-484b5fb1756d,Attribute,62b1af07-fc2c-43fb-a70b-0233e9f7aea8,3. Expenditure Metrics,,,,,,,,See page 132 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
8a61a87b-76f4-4b89-b2f3-cf4817212031,Attribute,62b1af07-fc2c-43fb-a70b-0233e9f7aea8,4. Financial Estimates and Assumptions,,,,,,,,See page 139 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
d9ce8112-2330-43c0-bb90-1686bb8011fb,Attribute,62b1af07-fc2c-43fb-a70b-0233e9f7aea8,5. Inclusion of Climate-Related Metrics in the Financial Statements,,,,,,,,See page 144 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
e0bc3178-9966-43f0-a7b2-0fde2e15f100,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,G. GHG Emissions Metrics Disclosure,,,,,,,,
e5bf68e1-4e55-482c-9f37-a91f853f1b4b,Group,e0bc3178-9966-43f0-a7b2-0fde2e15f100,1. GHG Emissions Disclosure Requirement,,,,,,,,See page 147 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
ecdbbf36-a99a-448d-b48d-9b4f08a0d477,Attribute,e5bf68e1-4e55-482c-9f37-a91f853f1b4b,a. Overview,,,,,,,,See page 147 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
8a35b575-4ccd-496e-8b10-c7701982e181,Attribute,e5bf68e1-4e55-482c-9f37-a91f853f1b4b,b. The Treatment of Scopes 1 and 2 Emissions Compared to Scope 3 Emissions,,,,,,,,See page 159 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
ea3e1b72-9a1f-4c09-933d-a32e61b85eb0,Attribute,e5bf68e1-4e55-482c-9f37-a91f853f1b4b,c. GHG Intensity,,,,,,,,See page 179 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
f19089dd-09a8-418e-99bc-d963111dca07,Attribute,e5bf68e1-4e55-482c-9f37-a91f853f1b4b,d. GHG Emissions Data for Historical Periods,,,,,,,,See page 183 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
c21e60a7-76e9-4e1f-8936-dd7b1f303e78,Group,e0bc3178-9966-43f0-a7b2-0fde2e15f100,2. GHG Emissions Methodology and Related Instructions,,,,,,,,See page 185 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
3b2f7ea3-2ff1-48ce-acd2-b1e82dc67714,Attribute,c21e60a7-76e9-4e1f-8936-dd7b1f303e78,a. The Setting and Disclosure of Organizational Boundaries,,,,,,,,See page 186 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
cc32cf76-be90-4a34-9afe-76c82abec132,Attribute,c21e60a7-76e9-4e1f-8936-dd7b1f303e78,b. The Setting and Disclosure of Operational Boundaries,,,,,,,,See page 190 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
33abac51-57ad-4043-8c3e-c7f8f70edacc,Attribute,c21e60a7-76e9-4e1f-8936-dd7b1f303e78,"c. The Selection and Disclosure of a GHG Emissions Calculation Approach, including Emission Factors",,,,,,,,See page 192 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
caef7e5e-a631-45c0-9cdb-86f0eef0e043,Attribute,c21e60a7-76e9-4e1f-8936-dd7b1f303e78,d. Additional Rules Related to Methodology Disclosure,,,,,,,,See page 197 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
54805c49-14c5-49fa-97a0-82de153b9814,Attribute,e0bc3178-9966-43f0-a7b2-0fde2e15f100,3. The Scope 3 Emissions Disclosure Safe Harbor and Other Accommodations,,,,,,,,See page 208 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
180ed3e1-4b6d-429e-a185-db2e387bfb49,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,H. Attestation of Scope 1 and Scope 2 Emissions Disclosure,,,,,,,,
602743d7-eb3d-4e68-adae-7c537167f86e,Attribute,180ed3e1-4b6d-429e-a185-db2e387bfb49,1. Overview,,,,,,,,See page 215 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
042b66d8-44eb-4533-90ab-507d6a287242,Attribute,180ed3e1-4b6d-429e-a185-db2e387bfb49,2. GHG Emissions Attestation Provider Requirements,,,,,,,,See page 239 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
d7c69982-a3a9-4873-a8d1-843c69f1de27,Attribute,180ed3e1-4b6d-429e-a185-db2e387bfb49,3. GHG Emissions Attestation Engagement and Report Requirements,,,,,,,,See page 247 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
054e45d7-5c70-4914-bd3c-9f8352293322,Attribute,180ed3e1-4b6d-429e-a185-db2e387bfb49,4. Additional Disclosure by the Registrant,,,,,,,,See page 260 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
0f08312c-e0e2-4b7c-8dde-fdf89505efd8,Attribute,180ed3e1-4b6d-429e-a185-db2e387bfb49,5. Disclosure of Voluntary Attestation,,,,,,,,See page 263 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
9d71d099-9689-4738-8bf9-fb36933612c6,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,I. Targets and Goals Disclosure,,,,,,,,See page 266 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
5c629bf2-af12-42c8-bc4b-039bde6241d0,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,J. Registrants Subject to the Climate-Related Disclosure Rules and Affected Forms,,,,,,,,See page 275 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
6af24bbf-6082-48ba-a109-ad4ee2703fde,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,K. Structured Data Requirement,,,,,,,,See page 283 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
764a4979-2ee6-46b0-a522-81156e2ba4fd,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,L. Treatment for Purposes of Securities Act and Exchange Act,,,,,,,,See page 286 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
bbea316d-0bf0-42cd-9f89-efce5847ece1,Object,cd65e7e0-75d5-4aee-acc7-04a515f15086,M. Compliance Date,,,,,,,,See page 289 of the SEC proposed Rule on the Enhancement and Standardization of Climate-Related Disclosures for Investors
