ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Comments/Description,Category
67cf9d57-f213-495a-9c2d-687edd9230dc,Layer,,SFDR Annex I: Template principal adverse sustainability impacts statement,,,,,,,,,
5c8c7ce4-5f39-4db0-b91b-b8c01abd2d44,Object,67cf9d57-f213-495a-9c2d-687edd9230dc,Table 1: Statement on principal adverse impacts of investment decisions on sustainability factors,,,,,,,,,
6ed6f9d3-4241-4a96-b145-3f4a6ff9c5e1,Attribute,5c8c7ce4-5f39-4db0-b91b-b8c01abd2d44,Financial market participant,,,,,,,,"[Name and, where available, LEI]",
9fde550a-ac18-4355-9ecf-4cdd22ed147f,Attribute,5c8c7ce4-5f39-4db0-b91b-b8c01abd2d44,Summary,,,,,,,,"[Name and, where available, LEI] considers principal adverse impacts of its investment decisions on sustainability factors. The present statement is the consolidated statement on principal adverse impacts on sustainability factors of [name of the financial market participant] [where applicable, insert âand its subsidiaries, namely [list the subsidiaries included]â].

This statement on principal adverse impacts on sustainability factors covers the reference period from [insert â1 Januaryâ or the date on which principal adverse impacts were first considered] to 31 December [year n].

[Summary referred to in Article 5 provided in the languages referred to in paragraph 1 thereof].",
ea7101a9-b0ae-491c-aaca-6bb5f3df1f96,Group,5c8c7ce4-5f39-4db0-b91b-b8c01abd2d44,Description of the principal adverse impacts on sustainability factors,,,,,,,,[Information referred to in Article 7 in the format set out below],
36f1cf76-49a5-4468-82a9-51d13e3007ae,Group,ea7101a9-b0ae-491c-aaca-6bb5f3df1f96,Indicators applicable to investments in investee companies,,,,,,,,,
6b81cddb-a109-4186-9d9e-ed0ebe0eed73,Group,36f1cf76-49a5-4468-82a9-51d13e3007ae,Climate and other environment-related indicators,,,,,,,,,
7e8f4445-71a5-4d35-8d8f-925c7b160ff7,Group,6b81cddb-a109-4186-9d9e-ed0ebe0eed73,1. GHG emissions,,,,,,,,Adverse sustainability indicator,Greenhouse gas emissions
0f883025-3188-4117-8461-a3d08f3178ca,Group,7e8f4445-71a5-4d35-8d8f-925c7b160ff7,Scope 1 GHG emissions,,,,,,,,Metric,Greenhouse gas emissions
01174fa8-e710-40fb-bf39-91dd48236382,Attribute,0f883025-3188-4117-8461-a3d08f3178ca,Impact [year n],,,,,,,,,
eb65911e-b899-4f46-9ba1-86e930214ab2,Attribute,0f883025-3188-4117-8461-a3d08f3178ca,Impact [year n-1],,,,,,,,,
b2bb0fce-6b8b-43c6-b188-7fa0b5ce1ba9,Attribute,0f883025-3188-4117-8461-a3d08f3178ca,Explanation,,,,,,,,,
1ad42097-02d8-45ee-86ce-1cc9f436a2a0,Attribute,0f883025-3188-4117-8461-a3d08f3178ca,"Actions taken, and actions planned and targets set for the next reference period",,,,,,,,,
f55b1dc6-0923-4779-9808-7f2778ed0c5c,Group,7e8f4445-71a5-4d35-8d8f-925c7b160ff7,Scope 2 GHG emissions,,,,,,,,Metric,Greenhouse gas emissions
72268531-57d9-4b66-974d-b2da8fb62cb2,Attribute,f55b1dc6-0923-4779-9808-7f2778ed0c5c,Impact [year n],,,,,,,,,
f1d48198-b22f-4bd8-8121-4c98db658e60,Attribute,f55b1dc6-0923-4779-9808-7f2778ed0c5c,Impact [year n-1],,,,,,,,,
49c8d91a-9f54-4a32-bede-4dd7839e4c45,Attribute,f55b1dc6-0923-4779-9808-7f2778ed0c5c,Explanation,,,,,,,,,
77bfa2e1-f4a7-4b69-a632-e935173b3b17,Attribute,f55b1dc6-0923-4779-9808-7f2778ed0c5c,"Actions taken, and actions planned and targets set for the next reference period",,,,,,,,,
402eb1ba-d747-4055-8356-867ac0b64470,Group,7e8f4445-71a5-4d35-8d8f-925c7b160ff7,Scope 3 GHG emissions,,,,,,,,Metric,Greenhouse gas emissions
376ddd93-70b1-4027-bc4e-d20c7efd8be1,Attribute,402eb1ba-d747-4055-8356-867ac0b64470,Impact [year n],,,,,,,,,
7c44cbc2-1af3-4ae6-9ed6-eb7546a5a466,Attribute,402eb1ba-d747-4055-8356-867ac0b64470,Impact [year n-1],,,,,,,,,
7565eec6-3675-4d3d-be26-9217c3b4d24e,Attribute,402eb1ba-d747-4055-8356-867ac0b64470,Explanation,,,,,,,,,
3d591942-d99a-4e1c-8eaf-c95cc5ca06d8,Attribute,402eb1ba-d747-4055-8356-867ac0b64470,"Actions taken, and actions planned and targets set for the next reference period",,,,,,,,,
74cb81a2-5058-4527-bbe8-37fe94a051cd,Group,7e8f4445-71a5-4d35-8d8f-925c7b160ff7,Total GHG emissions,,,,,,,,Metric,Greenhouse gas emissions
7badb5e3-3b49-4091-b84c-1cf136783b23,Attribute,74cb81a2-5058-4527-bbe8-37fe94a051cd,Impact [year n],,,,,,,,,
8d4c1237-7d22-44f1-8a3f-227cf6f13ff9,Attribute,74cb81a2-5058-4527-bbe8-37fe94a051cd,Impact [year n-1],,,,,,,,,
708c75c7-2928-41c3-a96e-6bcb627e14c1,Attribute,74cb81a2-5058-4527-bbe8-37fe94a051cd,Explanation,,,,,,,,,
