ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,Title,Guidance
747e1639-3172-4ca6-8613-26bd3a5cfb20,Layer,,TNFD,,,,,,,,Qualitative,,
43654202-8676-4955-a6fd-e2dbbb317038,Object,747e1639-3172-4ca6-8613-26bd3a5cfb20,General requirements,,,,,,,,Qualitative,General requirements,
2c6c9083-7199-4b75-9c36-34c8a7a57f51,Attribute,43654202-8676-4955-a6fd-e2dbbb317038,Approach to materiality,,,,,,,,Qualitative,Approach to materiality,"An organisation should provide a description of the materiality processes used, with reference to external standards where appropriate.These materiality processes apply only to the Strategy A, B and C, and Metrics and Targets disclosures: the recommended disclosures for Governance and Risk Management are process descriptions only and are therefore not linked to materiality considerations. The TNFD nevertheless strongly encourages report preparers to report all indicators relevant to the organisation, including the core disclosure metrics outlined in this guidance, to demonstrate alignment with global policy goals. 
An organisation should distinguish in their disclosures which pieces of material information are primarily relevant to specific stakeholder groups, such as investors and civil society.
The organisation should also consider describing:
- How it has defined the threshold to determine which topics are material for reporting; whether it has tested its selection of material topics with investors and 
other stakeholders; the sources, evidence and methods used to justify the naturerelated material information to be disclosed and any assumptions and subjective 
judgements made; 
- The stakeholders and experts who have informed the materiality determination process;
- Any limitations or exclusions. This could include the time periods considered for assessing the effects of decisions and actions, or if some categories of business relationships from certain parts of the value chain have been excluded when identifying material topics; and
- How it has prioritised the effects of its decisions and actions for reporting."
ffba8ab0-2b64-4d49-b987-cc0d2231eb7a,Attribute,43654202-8676-4955-a6fd-e2dbbb317038,Scope of disclosures,,,,,,,,Qualitative,Scope of disclosures,"The organisation should describe the scope of current nature-related disclosures including:
- Coverage of activities and assets in the organisation’s direct operations, its value chain(s) upstream and downstream and, where appropriate, financed activities;
- The elements of the TNFD framework disclosed against; and
- Whether any extensions to this scope are planned for future reports and what these extensions are. 
TNFD disclosures should then be broken down, where relevant, by:
- Direct operations;
- Upstream;
- Downstream; and
- Financed (specifically for financial institutions)."
a7669df1-323d-4547-94ed-4af2b8b655fc,Attribute,43654202-8676-4955-a6fd-e2dbbb317038,"Consideration of nature-related dependencies, impacts, risks and opportunities",,,,,,,,Qualitative,"Consideration of nature-related dependencies, impacts, risks and opportunities",Identification of nature-related risks and opportunities should be based on an assessment of dependencies and impacts on nature with clear delineation between these four types of nature-related issue.
c712b6f5-e223-4d00-92cd-77be7ea210b2,Attribute,43654202-8676-4955-a6fd-e2dbbb317038,Location,,,,,,,,Qualitative,Location,"Consideration of the specific location of an organisation’s interface with nature should be integral to the assessment, recognising that dependencies and impacts on nature and related impacts on affected stakeholder occur in specific ecosystems, with linkages across ecosystems. For example, water pollution occurring in one location can travel to affect other connected ecosystems."
58fe9199-2ac8-45cc-8c49-efd29cd79a99,Attribute,43654202-8676-4955-a6fd-e2dbbb317038,Integration with other sustainability-related disclosures,,,,,,,,Qualitative,Integration with other sustainability-related disclosures,"Nature-related disclosures should be integrated with other business and sustainabilityrelated disclosures whenever possible to provide report users with an integrated and holistic picture of an organisation’s financial and non-financial circumstances. 
Importantly, this includes integration of climate and nature disclosures. 
An organisation should ensure that any alignment, contributions and possible trade-offs between actions and targets for climate and nature are clearly identified. In particular, an organisation is expected to disclose any material information on existing climate disclosures where they also relate to nature-related dependencies, impacts, risks and opportunities, and describe whether and how they have integrated their climate and nature disclosures."
062d896f-81a5-4aaf-91ab-0ade05948fbc,Attribute,43654202-8676-4955-a6fd-e2dbbb317038,Stakeholder engagement,,,,,,,,Qualitative,Stakeholder engagement,The issues discussed and concerns raised during engagement with affected stakeholders should be taken into consideration by report preparers when preparing the content of the TNFD disclosure recommendations.
8fb64c35-57e7-4524-9e47-5bf8d44e7e64,Object,747e1639-3172-4ca6-8613-26bd3a5cfb20,Governance,,,,,,,,Qualitative,,
d7bbbea8-a1df-4dcc-b84a-e07224d8e317,Attribute,8fb64c35-57e7-4524-9e47-5bf8d44e7e64,Recommended Disclosure a),,,,,,,,Qualitative,"Describe the board’s oversight of nature-related dependencies, impacts, risks and opportunities.","In describing the board’s oversight of nature-related dependencies, impacts, risks and opportunities, an organisation should include a discussion of: - The processes and frequency by which the board and/or board committees (e.g. audit, risk or other committees) are informed about nature-related dependencies, impacts, risks and opportunities; - Whether and how the board and/or board committees consider nature-related dependencies, impacts, risks and opportunities when:- Reviewing and guiding strategy, major plans of action, risk management policies, annual budgets and business plans; - Setting the organisation’s performance objectives, monitoring implementation and performance; - Overseeing major capital expenditures, acquisitions and divestitures; and- How the board monitors and oversees progress against goals and targets to address nature-related dependencies, impacts, risks and opportunities.An organisation should consider reporting the following indicators to support this disclosure:- Number (absolute and proportion of total) of members of board with competence on nature-related issues; and- Frequency that nature issues are discussed during board meetings."
