ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Title,Link to Guidance,Question,Answer Format,Rows
b5575f2e-e308-4ed1-8126-8a90f3ceacb6,Layer,,UN Global Compact,,,,,,,,,,,,
b02df26e-da93-41a5-b1d7-94c470e12aa6,Object,b5575f2e-e308-4ed1-8126-8a90f3ceacb6,Human Rights,,,,,,,,,,,,
ca9d8666-11f3-4a60-a77f-882ffd600584,Attribute,b02df26e-da93-41a5-b1d7-94c470e12aa6,Principle 1,,,,,,,,Businesses should support and respect the protection of internationally proclaimed human rights.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-1,,,
81671984-d89e-41bd-9978-587e91cfbe5b,Attribute,b02df26e-da93-41a5-b1d7-94c470e12aa6,Principle 2,,,,,,,,Businesses should make sure that they are not complicit in human rights abuses.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-2,,,
5d6e6828-72ab-4eb6-9d77-6006eb67bdc3,Object,b5575f2e-e308-4ed1-8126-8a90f3ceacb6,Labour,,,,,,,,,,,,
d273e989-feaa-476f-9529-75fe83470b04,Attribute,5d6e6828-72ab-4eb6-9d77-6006eb67bdc3,Principle 3,,,,,,,,Businesses should uphold the freedom of association and the effective recognition of the right to collective bargaining.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-3,,,
beb2f03b-dfad-4705-8e8a-90d2cde61619,Attribute,5d6e6828-72ab-4eb6-9d77-6006eb67bdc3,Principle 4,,,,,,,,Businesses should uphold the elimination of all forms of forced and compulsory labour.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-4,,,
24d53c74-ef90-49ac-9632-fee67be8a43d,Attribute,5d6e6828-72ab-4eb6-9d77-6006eb67bdc3,Principle 5,,,,,,,,Businesses should uphold the effective abolition of child labour.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-5,,,
566b465d-89cf-4728-b2d2-a44816bd72ef,Attribute,5d6e6828-72ab-4eb6-9d77-6006eb67bdc3,Principle 6,,,,,,,,Businesses should uphold the elimination of discrimination in respect of employment and occupation.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-6,,,
3529a70b-3684-41cc-9fa9-22486bcea3a6,Object,b5575f2e-e308-4ed1-8126-8a90f3ceacb6,Environment,,,,,,,,,,,,
ae7f2eab-b0a9-4105-a59d-643d41631aa9,Attribute,3529a70b-3684-41cc-9fa9-22486bcea3a6,Principle 7,,,,,,,,Businesses should support a precautionary approach to environmental challenges.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-7,,,
60e193de-8fd5-4973-8be0-d2869e87b7a2,Attribute,3529a70b-3684-41cc-9fa9-22486bcea3a6,Principle 8,,,,,,,,Businesses should undertake initiatives to promote greater environmental responsibility.,https://www.unglobalcompact.org/what-is-gc/mission/principles/principle-8,,,
