Target object,Target attribute,Source object,Source attribute
Information on Emissions,Total (mtCO2e),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,CO2 (mt),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,CH4 (mt),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,N2O (mt),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,HFCs (mt),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,PFCs (mt),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,SF6 (mt),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,Direct CO2 emissions from Biogenic combustion (mtCO2),Disclosure 305-3,Other indirect (Scope 3) GHG emissions
Information on Emissions,Direct Emissions from Stationary Combustion,Disclosure 305-4,GHG emissions intensity
Information on Emissions,Direct Emissions from Stationary Combustion,Disclosure 305-1,Direct (Scope 1) GHG emissions
Information on Emissions,Direct Emissions from Mobile Combustion,Disclosure 305-4,GHG emissions intensity
Information on Emissions,Direct Emissions from Mobile Combustion,Disclosure 305-1,Direct (Scope 1) GHG emissions
Information on Emissions,Direct Emissions from Process Sources,Disclosure 305-4,GHG emissions intensity
Information on Emissions,Direct Emissions from Process Sources,Disclosure 305-1,Direct (Scope 1) GHG emissions
Information on Emissions,Direct Emissions from Fugitive Sources,Disclosure 305-4,GHG emissions intensity
Information on Emissions,Direct Emissions from Fugitive Sources,Disclosure 305-1,Direct (Scope 1) GHG emissions
Information on Emissions,Direct Emissions from Agricultural Sources,Disclosure 305-4,GHG emissions intensity
Information on Emissions,Direct Emissions from Agricultural Sources,Disclosure 305-1,Direct (Scope 1) GHG emissions
Information on Emissions,Indirect Emissions from Purchased/Acquired Electricity,Disclosure 305-2,Energy indirect (Scope 2) GHG emissions
Information on Emissions,Indirect Emissions from Purchased/Acquired Steam,Disclosure 305-2,Energy indirect (Scope 2) GHG emissions
Information on Emissions,Indirect Emissions from Purchased/Acquired Heating,Disclosure 305-2,Energy indirect (Scope 2) GHG emissions
Information on Emissions,Indirect Emissions from Purchased/Acquired Cooling,Disclosure 305-2,Energy indirect (Scope 2) GHG emissions
