ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Description,Required?,Quant_Qual,Minimum Boundary
f253641b-1e0f-4b55-aa00-49084ea03744,Layer,,GRI 305 Emissions,,,,,,,,,,,
7f44030d-ddde-46e8-8f02-a48832b7247a,Object,f253641b-1e0f-4b55-aa00-49084ea03744,Disclosure 305-1,,,,,,,,,,,
c22c3e89-33a2-4ad1-8f45-b9ab2ccb0f8b,Attribute,7f44030d-ddde-46e8-8f02-a48832b7247a,Direct (Scope 1) GHG emissions,,2b8febca-cd21-44f4-809e-6fe19080e9c8,,,,,,"The reporting organization shall report the following information: a. Gross direct (Scope 1) GHG emissions in metric tons of CO2 equivalent. b. Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all. c. Biogenic CO2 emissions in metric tons of CO2 equivalent. d. Base year for the calculation, if applicable, including: i. the rationale for choosing it; ii. emissions in the base year; iii. the context for any significant changes in emissions that triggered recalculations of base year emissions. e. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source. f. Consolidation approach for emissions; whether equity share, financial control, or operational control. g. Standards, methodologies, assumptions, and/or calculation tools used.",,,
71718783-7868-4d13-b795-ecce033f3e17,Transition,,,c22c3e89-33a2-4ad1-8f45-b9ab2ccb0f8b,2b8febca-cd21-44f4-809e-6fe19080e9c8,,,,,,,,,
70ef63da-dae6-4211-b91c-5011ccafadcf,Object,f253641b-1e0f-4b55-aa00-49084ea03744,Disclosure 305-2,,,,,,,,,,,
15cae337-d55f-4ae3-8cba-e6637a02dda8,Attribute,70ef63da-dae6-4211-b91c-5011ccafadcf,Energy indirect (Scope 2) GHG emissions,,1d957aaf-8db4-429a-b922-6376ab17c271,,,,,,"The reporting organization shall report the following information: a. Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent. b. If applicable, gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent. c. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all. d. Base year for the calculation, if applicable, including: i. the rationale for choosing it; ii. emissions in the base year; iii. the context for any significant changes in emissions that triggered recalculations of base year emissions. e. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source. f. Consolidation approach for emissions; whether equity share, financial control, or operational control. g. Standards, methodologies, assumptions, and/or calculation tools used",,,
593d4a0d-b970-4a06-b3c0-128bad4e638a,Transition,,,15cae337-d55f-4ae3-8cba-e6637a02dda8,1d957aaf-8db4-429a-b922-6376ab17c271,,,,,,,,,
e8af59c9-feb7-47a8-8237-ce1cc116f0e7,Object,f253641b-1e0f-4b55-aa00-49084ea03744,Disclosure 305-3,,,,,,,,,,,
64e9a0a4-9940-4ace-b6e7-ded83d60bcb5,Attribute,e8af59c9-feb7-47a8-8237-ce1cc116f0e7,Other indirect (Scope 3) GHG emissions,,20ec9493-0f0f-4a0c-bb08-943e62a61a2c,,,,,,"The reporting organization shall report the following information: a. Gross other indirect (Scope 3) GHG emissions in metric tons of CO2 equivalent. b. If available, the gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all. c. Biogenic CO2 emissions in metric tons of CO2 equivalent. d. Other indirect (Scope 3) GHG emissions categories and activities included in the calculation. e. Base year for the calculation, if applicable, including: i. the rationale for choosing it; ii. emissions in the base year; iii. the context for any significant changes in emissions that triggered recalculations of base year emissions. f. Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source. g. Standards, methodologies, assumptions, and/or calculation tools used",,,
cfe80c88-c5b1-4ae7-b511-4e67c5502516,Transition,,,64e9a0a4-9940-4ace-b6e7-ded83d60bcb5,20ec9493-0f0f-4a0c-bb08-943e62a61a2c,,,,,,,,,
