Target object,Target attribute,Source object,Source attribute,Full or Partial Map,Delta,Proxy,Dependant on Industry,Calculation Required
Governance,S2.5a,Table 1: Qualitative information on Environmental risk,(e),Part,Specific identity of responsible body or individual,No,No,No
Governance,S2.5b,Table 1: Qualitative information on Environmental risk,(e),Part,"Details on TORs, board mandates etc.",No,No,No
Governance,S2.5c,Table 1: Qualitative information on Environmental risk,(e),Part,Details on skills and competencies,No,No,No
Governance,S2.5d,Table 1: Qualitative information on Environmental risk,(h),Yes,0,No,No,No
Governance,S2.5e,Table 1: Qualitative information on Environmental risk,(f),Yes,0,No,No,No
Governance,S2.5f,Table 1: Qualitative information on Environmental risk,(g),Part,"Targets are discussed, but not how these are set/monitored by committees",No,No,No
Governance,S2.5g,Table 1: Qualitative information on Environmental risk,(e),Part,Delegation to specific committee/position; whether dedicated control/procedures applied to climate risk management,No,No,No
Governance,S2.5g,Table 1: Qualitative information on Environmental risk,(f),Part,Delegation to specific committee/position; whether dedicated control/procedures applied to climate risk management,No,No,No
Governance,S2.5g,Table 1: Qualitative information on Environmental risk,(g),Part,Delegation to specific committee/position; whether dedicated control/procedures applied to climate risk management,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(a),Yes,0,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(b),Yes,0,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(j),Yes,0,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(o),Yes,0,No,No,No
Strategy,S2.9b,Table 1: Qualitative information on Environmental risk,(b),Part,Definition not explicitly required,No,No,No
Strategy,S2.12a,Table 1: Qualitative information on Environmental risk,(a),Part,Value chain not specifically mentioned,No,No,No
Strategy,S2.13a,Table 1: Qualitative information on Environmental risk,(b),Part,Details of specific direct/indirect response,No,No,No
Strategy,S2.13b,Table 1: Qualitative information on Environmental risk,(b),Part,How plans will be resourced; disclosure of emission reduction targets and use of carbon offsets.,No,No,No
Strategy,S2.13c,Table 1: Qualitative information on Environmental risk,(b),Yes,0,No,No,No
Strategy,S2.14b,Table 1: Qualitative information on Environmental risk,(l),Yes,0,No,No,No
Strategy,S2.14c,Table 1: Qualitative information on Environmental risk,(c),Part,Discussion of current/future investment plans is required,No,No,No
Risk Management,S2.17a,Table 1: Qualitative information on Environmental risk,(l),Yes,0,No,No,No
Risk Management,S2.17b,Table 1: Qualitative information on Environmental risk,(n),Part,Whether processes have changed since prior reporting period,No,No,No
Risk Management,S2.17b,Table 1: Qualitative information on Environmental risk,(o),Part,Whether processes have changed since prior reporting period,No,No,No
Risk Management,S2.17b,Table 1: Qualitative information on Environmental risk,(p),Part,Whether processes have changed since prior reporting period,No,No,No
Risk Management,S2.17d,Table 1: Qualitative information on Environmental risk,(n),Yes,0,No,No,No
Risk Management,S2.17d,Table 1: Qualitative information on Environmental risk,(o),Yes,0,No,No,No
Risk Management,S2.17e,Table 1: Qualitative information on Environmental risk,(j),Yes,0,No,No,No
Metrics and Targets,S2.21a(i),Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"EBA P3 requires disclosure of financed emissions only (i.e. Scope 1, 2 and 3 emissions of the counterparty)",No,No,No
Metrics and Targets,S2.21a(vi),Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"Scope 3 emissions are effectively required by EBA P3 under financed emissions. However, these are only required for 'relevant industries' rather than all of the bank's scope 3 emissions.",No,No,No
Metrics and Targets,S2.21b,Template 6: Summary of KPIs on the Taxonomy-aligned exposures,F,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,a,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,l,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,32,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,45,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21c,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,h,Yes,0,No,No,No
Metrics and Targets,S2.21c,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,i,Yes,0,No,No,No
Metrics and Targets,S2.21c,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,j,Yes,0,No,No,No
Metrics and Targets,S2.21d,Template 6: Summary of KPIs on the Taxonomy-aligned exposures,F,Part,Opportunities are not specifically referred to in EBA. [Could potentially use GAR numerator assets?],Yes,No,No
