ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,EBA_P3_Map?,SASB_Map?,Description,TCFD_Map?,Title,Full_Partial_Match,Delta,Potential_Proxy,Depends_on_Industry,Calculation_Required
6fbedd19-228d-49c5-9f25-787e561d4945,Layer,,ISSB - S2: Climate-related Disclosures,,,,,,,,,,,,,,,,,,
3482aa6b-6858-407b-bbeb-a961a45bbc8b,Object,6fbedd19-228d-49c5-9f25-787e561d4945,Governance,,,,,,,,,,,,,,,,,,
c40496a5-1e40-42ce-bf8e-57c9388db2b6,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5a,,,,,,,,Qualitative,Part,No,the identity of the body or individual within a body responsible for oversight of climate-related risks and opportunities,Part,,,,,,
1df14821-72f8-46ce-979d-510f69c052c4,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5b,,,,,,,,Qualitative,Part,No,"How the body's responsibilities for climate related risks and opportunities are reflected in the entity's terms of reference, board mandates and other related policies",Part,,,,,,
e38b9d18-6061-4598-a05b-d3ddb93912fe,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5c,,,,,,,,Qualitative,Part,No,How responsible body ensures that appropriate skills and competencies are available to oversee strategies designed to repsond to climate-related risk and opportunities,Part,,,,,,
cc467f97-4152-4865-a183-41a6b31c06bc,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5d,,,,,,,,Qualitative,Yes,No,How and how often responsible body and its committees are informed about climate-related risk and opportunities,Yes,,,,,,
1648f610-b592-42a3-81b4-930829e843e7,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5e,,,,,,,,Qualitative,Yes,No,"How responsible body and its committees consider climate-related risks and opportunities when overseeing entity's strategy, decisions on major transactions and risk management policies",Yes,,,,,,
fb878c4d-4f81-4775-a347-cd7e6ed6ce3c,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5f,,,,,,,,Qualitative,Part,No,How responsbile body and its committees oversee setting climate-related targets and monitor progress,Yes,,,,,,
662edc21-02d4-4627-b4fa-8703d5a53567,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5g,,,,,,,,Qualitative,Part,No,managements role in assessing and managing climate-related risks and opportunities,Part,,,,,,
5c97661b-2fbb-41cb-bef6-4e99ac8b3ad5,Object,6fbedd19-228d-49c5-9f25-787e561d4945,Strategy,,,,,,,,,,,,,,,,,,
62f09a8f-5d32-4aed-8cc1-536c72943e00,Attribute,5c97661b-2fbb-41cb-bef6-4e99ac8b3ad5,S2.9a,,,,,,,,Qualitative,Yes,No,"a description of significant climate-related risks and opportunities and the time horizon over which each could reasonably be expected to affect its business model, strategy and cash flows, its access to finance and its cost of capital, over the short, medium or long term.",Yes,,,,,,
7925c970-9536-42e2-9ff4-7628c1ec5c49,Attribute,5c97661b-2fbb-41cb-bef6-4e99ac8b3ad5,S2.9b,,,,,,,,Qualitative,Part,No,"how it defines short, medium and long term and how these definitions are linked to the entity’s strategic planning horizons and capital allocation plans.",Yes,,,,,,
