Target object,Target attribute,Source object,Source attribute,Full or Partial,Delta,Proxy,Depends on Industry,Calculation
Governance,S2.5a,D. Governance Disclosure,1. Board Oversight,Part,Opportunities not specified by SEC,No,No,No
Governance,S2.5b,N/A,,No,0,No,No,No
Governance,S2.5c,D. Governance Disclosure,1. Board Oversight,Part,"SEC requires disclosure of climate-related expertise of the board/committee, however does not require a description of how they ensure relevant skills are present",No,No,No
Governance,S2.5d,D. Governance Disclosure,1. Board Oversight,Yes,0,No,No,No
Governance,S2.5e,D. Governance Disclosure,1. Board Oversight,Yes,0,No,No,No
Governance,S2.5f,D. Governance Disclosure,1. Board Oversight,Yes,0,No,No,No
Governance,S2.5g,D. Governance Disclosure,2. Management Oversight,Yes,0,No,No,No
Strategy,S2.9a,B. Disclosure of Climate-Related Risks,1. Definitions of Climate-Related Risks and Climate-Related Opportunities,Yes,0,No,No,No
Strategy,S2.9a,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Yes,0,No,No,No
Strategy,S2.9b,B. Disclosure of Climate-Related Risks,2. Proposed Time Horizons and the Materiality Determination,Yes,0,No,No,No
Strategy,S2.9c,B. Disclosure of Climate-Related Risks,1. Definitions of Climate-Related Risks and Climate-Related Opportunities,Yes,0,No,No,No
Strategy,S2.9c,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Yes,0,No,No,No
Strategy,S2.12a,B. Disclosure of Climate-Related Risks,1. Definitions of Climate-Related Risks and Climate-Related Opportunities,Yes,0,No,No,No
Strategy,S2.12a,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Yes,0,No,No,No
Strategy,S2.12b,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Yes,0,No,No,No
Strategy,S2.13a,E. Risk Management Disclosure,2. Transition Plan Disclosure,Yes,0,No,No,No
Strategy,S2.13b,E. Risk Management Disclosure,2. Transition Plan Disclosure,Yes,0,No,No,No
Strategy,S2.13c,E. Risk Management Disclosure,2. Transition Plan Disclosure,Yes,0,No,No,No
Strategy,S2.14a,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Yes,0,No,No,No
Strategy,S2.14a,F. Financial Statement Metrics,1. Overview,Yes,0,No,No,No
Strategy,S2.14a,F. Financial Statement Metrics,2. Financial Impact Metrics,Yes,0,No,No,No
Strategy,S2.14a,F. Financial Statement Metrics,3. Expenditure Metrics,Yes,0,No,No,No
Strategy,S2.14b,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Part,Potential effects of climate risks on future outlook are only required in qualitative form. Quantitative metrics and disclosures are only required in relation to climate effects that have materialised and already affected the company's financial position/performance.,No,No,No
Strategy,S2.14c,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Part,Potential effects of climate risks on future outlook are only required in qualitative form. Quantitative metrics and disclosures are only required in relation to climate effects that have materialised and already affected the company's financial position/performance.,No,No,No
Strategy,S2.14d,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook",1. Disclosure of Material Impacts,Part,Potential effects of climate risks on future outlook are only required in qualitative form. Quantitative metrics and disclosures are only required in relation to climate effects that have materialised and already affected the company's financial position/performance.,No,No,No
Strategy,S2.14e,N/A,,No,Potential effects of climate risks on future outlook are only required in qualitative form. Quantitative metrics and disclosures are only required in relation to climate effects that have materialised and already affected the company's financial position/performance.,No,No,No
Strategy,S2.15a,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook","4. Disclosure of Scenario Analysis, if Used",Yes,0,No,No,No
Strategy,S2.15b,"C. Disclosure Regarding Climate-Related Impacts on Strategy, Business Model, and Outlook","4. Disclosure of Scenario Analysis, if Used",Yes,0,No,No,No
Risk Management,S2.17a,E. Risk Management Disclosure,"1. Disclosure of Processes for Identifying, Assessing, and Managing Climate-Related Risks",Part,Opportunities not specified by SEC,No,No,No
Risk Management,S2.17b,E. Risk Management Disclosure,"1. Disclosure of Processes for Identifying, Assessing, and Managing Climate-Related Risks",Part,"SEC does not specify: (iii) the input parameters it uses (for example, data sources, the scope of operations covered and the detail used in assumptions); or (iv) whether it has changed the processes used compared to the prior reporting period",No,No,No
Risk Management,S2.17c,E. Risk Management Disclosure,"1. Disclosure of Processes for Identifying, Assessing, and Managing Climate-Related Risks",Yes,0,No,No,No
Risk Management,S2.17d,E. Risk Management Disclosure,"1. Disclosure of Processes for Identifying, Assessing, and Managing Climate-Related Risks",Part,Opportunities not specified by SEC,No,No,No
Risk Management,S2.17e,E. Risk Management Disclosure,"1. Disclosure of Processes for Identifying, Assessing, and Managing Climate-Related Risks",Yes,0,No,No,No
Risk Management,S2.17f,N/A,,No,Opportunities not specified by SEC,No,No,No
Metrics and Targets,S2.21a(i),G. GHG Emissions Metrics Disclosure/1. GHG Emissions Disclosure Requirement,a. Overview,Yes,0,No,No,No
Metrics and Targets,S2.21a(i),G. GHG Emissions Metrics Disclosure/1. GHG Emissions Disclosure Requirement,b. The Treatment of Scopes 1 and 2 Emissions Compared to Scope 3 Emissions,Yes,0,No,No,No
Metrics and Targets,S2.21a(ii),G. GHG Emissions Metrics Disclosure/1. GHG Emissions Disclosure Requirement,c. GHG Intensity,Yes,0,No,No,No
Metrics and Targets,S2.21a(iii),N/A,,No,Emissions for other group entities not required by SEC,No,No,No
Metrics and Targets,S2.21a(vi),G. GHG Emissions Metrics Disclosure/1. GHG Emissions Disclosure Requirement,a. Overview,Yes,0,No,No,No
Metrics and Targets,S2.21a(vi),G. GHG Emissions Metrics Disclosure/1. GHG Emissions Disclosure Requirement,b. The Treatment of Scopes 1 and 2 Emissions Compared to Scope 3 Emissions,Yes,0,No,No,No
Metrics and Targets,S2.21b,N/A,,No,Specific proportion of assets subject to climate risk not required by SEC,No,No,No
Metrics and Targets,S2.21c,N/A,,No,Specific proportion of assets subject to climate risk not required by SEC,No,No,No
Metrics and Targets,S2.21d,N/A,,No,Opportunities not specified by SEC,No,No,No
