ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,EBA_P3_Map?,SASB_Map?,Description,TCFD_Map?,Full_Partial_Match,Delta,Potential_Proxy,Depends_on_Industry,Calculation_Required
6fbedd19-228d-49c5-9f25-787e561d4945,Layer,,ISSB - S2: Climate-related Disclosures,,,,,,,,,,,,,,,,,
3482aa6b-6858-407b-bbeb-a961a45bbc8b,Object,6fbedd19-228d-49c5-9f25-787e561d4945,Governance,,,,,,,,,,,,,,,,,
c40496a5-1e40-42ce-bf8e-57c9388db2b6,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5a,3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,Qualitative,Part,No,the identity of the body or individual within a body responsible for oversight of climate-related risks and opportunities,Part,,,,,
1df14821-72f8-46ce-979d-510f69c052c4,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5b,,,,,,,,Qualitative,Part,No,"How the body's responsibilities for climate related risks and opportunities are reflected in the entity's terms of reference, board mandates and other related policies",Part,,,,,
e38b9d18-6061-4598-a05b-d3ddb93912fe,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5c,3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,Qualitative,Part,No,How responsible body ensures that appropriate skills and competencies are available to oversee strategies designed to repsond to climate-related risk and opportunities,Part,,,,,
cc467f97-4152-4865-a183-41a6b31c06bc,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5d,3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,Qualitative,Yes,No,How and how often responsible body and its committees are informed about climate-related risk and opportunities,Yes,,,,,
1648f610-b592-42a3-81b4-930829e843e7,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5e,3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,Qualitative,Yes,No,"How responsible body and its committees consider climate-related risks and opportunities when overseeing entity's strategy, decisions on major transactions and risk management policies",Yes,,,,,
fb878c4d-4f81-4775-a347-cd7e6ed6ce3c,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5f,3c7fa6bb-758d-4557-b85f-e0ea1f612d87,,,,,,,Qualitative,Part,No,How responsbile body and its committees oversee setting climate-related targets and monitor progress,Yes,,,,,
662edc21-02d4-4627-b4fa-8703d5a53567,Attribute,3482aa6b-6858-407b-bbeb-a961a45bbc8b,S2.5g,62db3be0-23f6-4488-a5b1-8c359c50adb7,,,,,,,Qualitative,Part,No,managements role in assessing and managing climate-related risks and opportunities,Part,,,,,
5c97661b-2fbb-41cb-bef6-4e99ac8b3ad5,Object,6fbedd19-228d-49c5-9f25-787e561d4945,Strategy,,,,,,,,,,,,,,,,,
