Target object,Target attribute,Source object,Source attribute
C1 Governance,C1.1b,Governance,Recommended Disclosure a)
C1 Governance,C1.2,Governance,Recommended Disclosure b)
C2 Risks and opportunities,C2.1,Risk Management,Recommended Disclosure a)
C2 Risks and opportunities,C2.1a,Strategy,Recommended Disclosure a)
C2 Risks and opportunities,C2.2,Risk Management,Recommended Disclosure a)
C2 Risks and opportunities,C2.2,Risk Management,Recommended Disclosure b)
C2 Risks and opportunities,C2.2a,Risk Management,Recommended Disclosure b)
C2 Risks and opportunities,C2.2a,Risk Management,Recommended Disclosure a)
C2 Risks and opportunities,C-FS2.2b,Risk Management,Recommended Disclosure b)
C2 Risks and opportunities,C-FS2.2b,Risk Management,Recommended Disclosure a)
C2 Risks and opportunities,C-FS2.2c,Risk Management,Recommended Disclosure b)
C2 Risks and opportunities,C-FS2.2c,Risk Management,Recommended Disclosure a)
C2 Risks and opportunities,C-FS2.2d,Risk Management,Recommended Disclosure b)
C2 Risks and opportunities,C-FS2.2e,Risk Management,Recommended Disclosure b)
C2 Risks and opportunities,C-FS2.2e,Risk Management,Recommended Disclosure a)
C2 Risks and opportunities,C2.4a,Strategy,Recommended Disclosure b)
C2 Risks and opportunities,C2.4b,Strategy,Recommended Disclosure b)
C3 Business Strategy,C3.1,Strategy,Recommended Disclosure c)
C3 Business Strategy,C3.2,Strategy,Recommended Disclosure b)
C3 Business Strategy,C3.2a,Strategy,Recommended Disclosure a)
C3 Business Strategy,C3.2b,Strategy,Recommended Disclosure a)
C3 Business Strategy,C3.3,Strategy,Recommended Disclosure a)
C3 Business Strategy,C3.4,Strategy,Recommended Disclosure b)
C3 Business Strategy,C-FS3.7,Strategy,Supplemental Guidance for Asset Owners
C3 Business Strategy,C-FS3.7a,Strategy,Supplemental Guidance for Asset Owners
C4 Targets and Perfromance,C4.2,Metrics and Targets,Recommended Disclosure c)
C4 Targets and Perfromance,C4.2a,Metrics and Targets,Recommended Disclosure c)
C4 Targets and Perfromance,C4.2b,Metrics and Targets,Recommended Disclosure c)
C6 Emissions Data,C6.1,Metrics and Targets,Recommended Disclosure b)
C6 Emissions Data,C6.2,Metrics and Targets,Recommended Disclosure b)
C6 Emissions Data,C6.5a,Metrics and Targets,Recommended Disclosure b)
C9 Additional Metrics,C9.1,Metrics and Targets,Recommended Disclosure a)
C14 Portfolio Impact,C-FS14.1,Metrics and Targets,Recommended Disclosure a)
C14 Portfolio Impact,C-FS14.1a,Metrics and Targets,Recommended Disclosure b)
C14 Portfolio Impact,C-FS14.1b,Metrics and Targets,Recommended Disclosure a)
