ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Quant_Qual,Title,Guidance,Description,TCFD_Map?,EBA_P3_Map?,SEC_Map?,confidence,SASB_Map?
359560f8-36dd-4174-a248-c86d428a532f,Layer,,TCFD,,,,,,,,,,,,,,,,
0b403aea-90ae-4d19-a968-41d22914f491,Object,359560f8-36dd-4174-a248-c86d428a532f,Governance,,,,,,,,,,,,,,,,
1e85d99c-26d9-464f-9fba-058d5681fd4b,Attribute,0b403aea-90ae-4d19-a968-41d22914f491,Recommended Disclosure a),"c21df3e9-4b43-4f59-b97c-63238c4eeb1a,2e639db2-d563-4d12-bda3-544912363c95,7d0b8474-6371-4766-ae8d-fce04fefc3a7,df12b5a7-85d5-456c-b48b-b8b86b975a36,50a56c3c-71ee-4470-a83f-7de7b88824af",,,,,,,Qualitative,Describe the board’s oversight of climate-related risks and opportunities.,"In describing the board’s oversight of climate-related issues, organizations should consider including a discussion of the following: ‒ processes and frequency by which the board and/or board committees (e.g., audit, risk, or other committees) are informed about climate-related issues; ‒ whether the board and/or board committees consider climate-related issues when reviewing and guiding strategy, major plans of action, risk management policies, annual budgets, and business plans as well as setting the organization’s performance objectives, monitoring implementation and performance, and overseeing major capital expenditures, acquisitions, and divestitures; and ‒ how the board monitors and oversees progress against goals and targets for addressing climate-related issues.",,,,,,
5af49c2c-3ff5-4628-be10-4360013c40b7,Attribute,0b403aea-90ae-4d19-a968-41d22914f491,Recommended Disclosure b),"d2f88ce2-4006-42f6-8e0d-b8d2778bc278,d670eaf2-d460-4fe5-9dfa-99a9c5a253d7",,,,,,,Qualitative,Describe management’s role in assessing and managing climate-related risks and opportunities.,"In describing management’s role related to the assessment and management of climate-related issues, organizations should consider including the following information: ‒ whether the organization has assigned climate-related responsibilities to management-level positions or committees; and, if so, whether such management positions or committees report to the board or a committee of the board and whether those responsibilities include assessing and/or managing climate-related issues; ‒ a description of the associated organizational structure(s); ‒ processes by which management is informed about climate-related issues; and ‒ how management (through specific positions and/or management committees) monitors climate-related issues.",,,,,,
9c653d24-d1c4-4157-90a8-5ef4d4784a38,Object,359560f8-36dd-4174-a248-c86d428a532f,Strategy,,,,,,,,,,,,,,,,
33f6c0ba-12b3-4415-80b2-3a6feed08ed0,Group,9c653d24-d1c4-4157-90a8-5ef4d4784a38,Recommended Disclosure a),"38aae54f-9b87-4e18-bba8-74119ce59226,7cc85bf9-0794-4845-bbaa-9f4225bb41f5,b0bcb99f-1d35-4c5a-b595-519cc5d3c112,e874eea0-ac04-4d09-a366-d3d3d89f43a1",,,,,,,Qualitative,"Describe the climate-related risks and opportunities the organization has identified over the short, medium, and long term.","Organizations should provide the following information: ‒ a description of what they consider to be the relevant short-, medium-, and longterm horizons, taking into consideration the useful life of the organization’s assets or infrastructure and the fact that climate-related issues often manifest themselves over the medium and longer terms; ‒ a description of the specific climate-related issues potentially arising in each time horizon (short, medium, and long term) that could have a material financial impact on the organization; and ‒ a description of the process(es) used to determine which risks and opportunities could have a material financial impact on the organization. Organizations should consider providing a description of their risks and opportunities by sector and/or geography, as appropriate. In describing climate-related issues, organizations should refer to Tables A1.1 and A1.2 (pp. 75–76).",,,,,,
52d71f8b-955c-4c4a-bedb-fd23e60429bb,Attribute,33f6c0ba-12b3-4415-80b2-3a6feed08ed0,Supplemental Guidance for Banks,,,,,,,,Quantitative,Supplemental Guidance for Banks,"Banks should describe significant concentrations of credit exposure to carbon-related assets. Additionally, banks should consider disclosing their climate-related risks (transition and physical) in their lending and other financial intermediary business activities.",,,,,,
743e65b8-3187-4b93-99af-7c9989148a9c,Group,9c653d24-d1c4-4157-90a8-5ef4d4784a38,Recommended Disclosure b),"ffe9c960-6a14-4725-9477-d4fc741d75c3,82067ba4-0efd-456b-a2db-367ab01998d4,fe556e2d-75f7-485b-a781-59d8c30c0b46,4d1c781a-418c-4112-b6a1-e5d89cb174ce,16e07e32-16af-4a8a-91f1-0102e2fd3cde,1d04fd1b-dd09-4574-a9d6-0adedcba46f5",,,,,,,Qualitative,"Describe the impact of climate-related risks and opportunities on the organization’s businesses, strategy, and financial planning.","Building on recommended disclosure (a), organizations should discuss how identified climate-related issues have affected their businesses, strategy, and financial planning. Organizations should consider including the impact on their businesses, strategy, and financial planning in the following areas: ‒ Products and services ‒ Supply chain and/or value chain ‒ Adaptation and mitigation activities ‒ Investment in research and development ‒ Operations (including types of operations and location of facilities) ‒ Acquisitions or divestments ‒ Access to capital Organizations should describe how climate related issues serve as an input to their financial planning process, the time period(s) used, and how these risks and opportunities are prioritized. Organizations’ disclosures should reflect a holistic picture of the interdependencies among the factors that affect their ability to create value over time. Organizations should describe the impact of climate-related issues on their financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities). If climate-related scenarios were used to inform the organization’s strategy and financial planning, such scenarios should be described. Organizations that have made GHG emissions reduction commitments, operate in jurisdictions that have made such commitments, or have agreed to meet investor expectations regarding GHG emissions reductions should describe their plans for transitioning to a low-carbon economy, which could include GHG emissions targets and specific activities intended to reduce GHG emissions in their operations and value chain or to otherwise support the transition.",,,,,,
c079602b-8cca-4b4e-8aa0-279bb0e579a7,Attribute,743e65b8-3187-4b93-99af-7c9989148a9c,Supplemental Guidance for Insurance Companies,268843c7-e21e-4364-9c9b-358397a7bbe2,,,,,,,Qualitative,Supplemental Guidance for Insurance Companies,"Insurance companies should describe the potential impacts of climate-related risks and opportunities as well as provide supporting quantitative information where available, on their core businesses, products, and services, including: ‒ information at the business division, sector, or geography levels; ‒ how the potential impacts influence client or broker selection; and ‒ whether specific climate-related products or competencies are under development, such as insurance of green infrastructure, specialty climate-related risk advisory services, and climate-related client engagement.",,,,,,
e92d54d6-1cf3-4db1-a4b1-f98a0d3cddcc,Attribute,743e65b8-3187-4b93-99af-7c9989148a9c,Supplemental Guidance for Asset Owners,,,,,,,,Qualitative,Supplemental Guidance for Asset Owners,Asset owners should describe how climate-related risks and opportunities are factored into relevant investment strategies. This could be described from the perspective of the total fund or investment strategy or individual investment strategies for various asset classes.,,,,,,
a769271a-febb-48be-9d49-7ab631819550,Attribute,743e65b8-3187-4b93-99af-7c9989148a9c,Supplemental Guidance for Asset Managers,fec5264f-3234-4d79-9199-2cfe4ef19fce,,,,,,,Qualitative,Supplemental Guidance for Asset Managers,Asset managers should describe how climate-related risks and opportunities are factored into relevant products or investment strategies. Asset managers should also describe how each product or investment strategy might be affected by the transition to a low-carbon economy.,,,,,,
36058f69-8afa-4f8e-9e23-fc02cd6805e9,Group,9c653d24-d1c4-4157-90a8-5ef4d4784a38,Recommended Disclosure c),"cf03bd31-6987-4e89-8157-9ef19fdc021a,06557a3b-6e2e-493a-989e-2b73fd638be9,e54b075c-7d7c-400a-9231-bda08ed68979,4072ca27-fc3a-444a-8735-d0a581ba712a,1d04fd1b-dd09-4574-a9d6-0adedcba46f5",,,,,,,Qualitative,"Describe the resilience of the organization’s strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario.","Organizations should describe how resilient their strategies are to climate-related risks and opportunities, taking into consideration a transition to a low-carbon economy consistent with a 2°C or lower scenario and, where relevant to the organization, scenarios consistent with increased physical climate-related risks. Organizations should consider discussing: ‒ where they believe their strategies may be affected by climate-related risks and opportunities; ‒ how their strategies might change to address such potential risks and opportunities; ‒ the potential impact of climate-related issues on financial performance (e.g., revenues, costs) and financial position (e.g., assets, liabilities); and ‒ the climate-related scenarios and associated time horizon(s) considered. Refer to Section D in the Task Force’s report for information on applying scenarios to forward-looking analysis.",,,,,,
be6bc5ff-173e-4b7a-bd01-0ffeb9ba47b1,Attribute,36058f69-8afa-4f8e-9e23-fc02cd6805e9,Supplemental Guidance for Insurance Companies,d3804730-6c68-4ceb-a2fd-1163fc98b9be,,,,,,,Qualitative,Supplemental Guidance for Insurance Companies,"Insurance companies that perform climate-related scenario analysis on their underwriting activities should provide the following information: ‒ description of the climate-related scenarios used, including the critical input parameters, assumptions and considerations, and analytical choices. In addition to a 2°C scenario, insurance companies with substantial exposure to weather-related perils should consider using a greater than 2°C scenario to account for physical effects of climate change and ‒ time frames used for the climate-related scenarios, including short-, medium-, and long-term milestones.",,,,,,
b9beb23c-699f-4131-b311-3d419f1bd4e2,Attribute,36058f69-8afa-4f8e-9e23-fc02cd6805e9,Supplemental Guidance for Asset Owners,,,,,,,,Qualitative,Supplemental Guidance for Asset Owners,"Asset owners that perform scenario analysis should consider providing a discussion of how climate-related scenarios are used, such as to inform investments in specific assets.",,,,,,
8941c8a9-38f4-4bb6-a867-efd3623629c3,Object,359560f8-36dd-4174-a248-c86d428a532f,Risk Management,,,,,,,,,,,,,,,,
13b6f3bf-579e-458d-89ee-dd3af6133e2c,Group,8941c8a9-38f4-4bb6-a867-efd3623629c3,Recommended Disclosure a),"6cab5ea1-ff0c-472c-981c-98a71acdac5c,a0800eb3-dd56-4301-ba86-9dabee10e45c",,,,,,,Qualitative,Describe the organization’s processes for identifying and assessing climate-related risks.,"Organizations should describe their risk management processes for identifying and assessing climate-related risks. An important aspect of this description is how organizations determine the relative significance of climate-related risks in relation to other risks. Organizations should describe whether they consider existing and emerging regulatory requirements related to climate change (e.g., limits on emissions) as well as other relevant factors considered. Organizations should also consider disclosing the following: ‒ processes for assessing the potential size and scope of identified climate-related risks and ‒ definitions of risk terminology used or references to existing risk classification frameworks used.",,,,,,
6407556e-5921-4315-b5ba-1b005d1fe89e,Attribute,13b6f3bf-579e-458d-89ee-dd3af6133e2c,Supplemental Guidance for Banks,,,,,,,,Qualitative,Supplemental Guidance for Banks,"Banks should consider characterizing their climate-related risks in the context of traditional banking industry risk categories such as credit risk, market risk, liquidity risk, and operational risk.",,,,,,
8a1651e5-2488-4d91-999e-a36bb7f68305,Attribute,13b6f3bf-579e-458d-89ee-dd3af6133e2c,Supplemental Guidance for Insurance Companies,,,,,,,,Qualitative,Supplemental Guidance for Insurance Companies,"Insurance companies should describe the processes for identifying and assessing climate-related risks on re-/insurance portfolios by geography, business division, or product segments, including the following risks: ‒ physical risks from changing frequencies and intensities of weather-related perils; ‒ transition risks resulting from a reduction in insurable interest due to a decline in value, changing energy costs, or implementation of carbon regulation; and ‒ liability risks that could intensify due to a possible increase in litigation.",,,,,,
84a69cdb-a77f-421d-a2c3-7b660f169ef8,Attribute,13b6f3bf-579e-458d-89ee-dd3af6133e2c,Supplemental Guidance for Asset Owners,,,,,,,,Qualitative,Supplemental Guidance for Asset Owners,"Asset owners should describe, where appropriate, engagement activity with investee companies to encourage better disclosure and practices related to climate-related risks to improve data availability and asset owners’ ability to assess climate-related risks.",,,,,,
04d63666-92c0-4ec4-91e1-adf9f287f3a8,Attribute,13b6f3bf-579e-458d-89ee-dd3af6133e2c,Supplemental Guidance for Asset Managers,8a34f210-2ada-4dfb-af33-c2d12a46b66b,,,,,,,Qualitative,Supplemental Guidance for Asset Managers,"Asset managers should describe, where appropriate, engagement activity with investee companies to encourage better disclosure and practices related to climate-related risks in order to improve data availability and asset managers’ ability to assess climate-related risks. Asset managers should also describe how they identify and assess material climate-related risks for each product or investment strategy. This might include a description of the resources and tools used in the process.",,,,,,
f44d4ab3-359c-44ed-adae-8449c3d80295,Group,8941c8a9-38f4-4bb6-a867-efd3623629c3,Recommended Disclosure b),cd0eb74c-e5e9-440c-b979-279bf51095d1,,,,,,,Qualitative,Describe the organization’s processes for managing climate-related risks.,"Organizations should describe their processes for managing climate-related risks, including how they make decisions to mitigate, transfer, accept, or control those risks. In addition, organizations should describe their processes for prioritizing climate-related risks, including how materiality determinations are made within their organizations. In describing their processes for managing climate-related risks, organizations should address the risks included in Tables A1.1 and A1.2 (pp. 75–76), as appropriate.",,,,,,
daadb7f6-7fd6-4059-bb14-7cfb8845d324,Attribute,f44d4ab3-359c-44ed-adae-8449c3d80295,Supplemental Guidance for Insurance Companies,d3804730-6c68-4ceb-a2fd-1163fc98b9be,,,,,,,Qualitative,Supplemental Guidance for Insurance Companies,"Insurance companies should describe key tools or instruments, such as risk models, used to manage climate-related risks in relation to product development and pricing. Insurance companies should also describe the range of climate-related events considered and how the risks generated by the rising propensity and severity of such events are managed.",,,,,,
1f6e1274-60e3-44eb-b33d-9f50728c44f7,Attribute,f44d4ab3-359c-44ed-adae-8449c3d80295,Supplemental Guidance for Asset Owners,,,,,,,,Qualitative,Supplemental Guidance for Asset Owners,"Asset owners should describe how they consider the positioning of their total portfolio with respect to the transition to a low-carbon energy supply, production, and use. This could include explaining how asset owners actively manage their portfolios’ positioning in relation to this transition.",,,,,,
