Target object,Target attribute,Source object,Source attribute,Full or Partial,Delta,Proxy,Depends on Industry,Calculation
Governance,S2.5a,Governance,Recommended Disclosure a),Part,Specific identity of responsible body or individual,No,No,No
Governance,S2.5a,Table 1: Qualitative information on Environmental risk,(e),Part,Specific identity of responsible body or individual,No,No,No
Governance,S2.5b,Governance,Recommended Disclosure a),Part,"Details on TORs, board mandates etc.",No,No,No
Governance,S2.5b,Table 1: Qualitative information on Environmental risk,(e),Part,"Details on TORs, board mandates etc.",No,No,No
Governance,S2.5c,Governance,Recommended Disclosure b),Part,Details on skills and competencies,No,No,No
Governance,S2.5c,Table 1: Qualitative information on Environmental risk,(e),Part,Details on skills and competencies,No,No,No
Governance,S2.5d,Governance,Recommended Disclosure a),Yes,0,No,No,No
Governance,S2.5d,Table 1: Qualitative information on Environmental risk,(h),Yes,0,No,No,No
Governance,S2.5e,Governance,Recommended Disclosure a),Yes,0,No,No,No
Governance,S2.5e,Table 1: Qualitative information on Environmental risk,(f),Yes,0,No,No,No
Governance,S2.5f,Governance,Recommended Disclosure a),Yes,0,No,No,No
Governance,S2.5f,Table 1: Qualitative information on Environmental risk,(g),Part,"Targets are discussed, but not how these are set/monitored by committees",No,No,No
Governance,S2.5g,Governance,Recommended Disclosure b),Part,Whether dedicated control/procedures applied to climate risk management,No,No,No
Governance,S2.5g,Table 1: Qualitative information on Environmental risk,(e),Part,Delegation to specific committee/position; whether dedicated control/procedures applied to climate risk management,No,No,No
Governance,S2.5g,Table 1: Qualitative information on Environmental risk,(f),Part,Delegation to specific committee/position; whether dedicated control/procedures applied to climate risk management,No,No,No
Governance,S2.5g,Table 1: Qualitative information on Environmental risk,(g),Part,Delegation to specific committee/position; whether dedicated control/procedures applied to climate risk management,No,No,No
Strategy,S2.9a,Strategy,Recommended Disclosure a),Yes,0,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(a),Yes,0,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(b),Yes,0,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(j),Yes,0,No,No,No
Strategy,S2.9a,Table 1: Qualitative information on Environmental risk,(o),Yes,0,No,No,No
Strategy,S2.9b,Strategy,Recommended Disclosure a),Yes,0,No,No,No
Strategy,S2.9b,Table 1: Qualitative information on Environmental risk,(b),Part,Definition not explicitly required,No,No,No
Strategy,S2.9c,Strategy,Recommended Disclosure a),Yes,0,No,No,No
Strategy,S2.12a,Strategy,Recommended Disclosure b),Yes,0,No,No,No
Strategy,S2.12a,Table 1: Qualitative information on Environmental risk,(a),Part,Value chain not specifically mentioned,No,No,No
Strategy,S2.12b,Strategy,Recommended Disclosure a),Yes,0,No,No,No
Strategy,S2.13a,Strategy,Recommended Disclosure b),Part,Details of specific direct/indirect response,No,No,No
Strategy,S2.13a,Table 1: Qualitative information on Environmental risk,(b),Part,Details of specific direct/indirect response,No,No,No
Strategy,S2.13b,Strategy,Recommended Disclosure b),Part,How plans will be resourced; disclosure of emission reduction targets and use of carbon offsets.,No,No,No
Strategy,S2.13b,Table 1: Qualitative information on Environmental risk,(b),Part,How plans will be resourced; disclosure of emission reduction targets and use of carbon offsets.,No,No,No
Strategy,S2.13c,Strategy,Recommended Disclosure b),Yes,0,No,No,No
Strategy,S2.13c,Table 1: Qualitative information on Environmental risk,(b),Yes,0,No,No,No
Strategy,S2.14a,Strategy,Recommended Disclosure b),Yes,0,No,No,No
Strategy,S2.14b,Strategy,Recommended Disclosure c),Yes,0,No,No,No
Strategy,S2.14b,Table 1: Qualitative information on Environmental risk,(l),Yes,0,No,No,No
Strategy,S2.14c,Strategy,Recommended Disclosure c),Part,Exp. change in investment plans and sources of funding,No,No,No
Strategy,S2.14c,Table 1: Qualitative information on Environmental risk,(c),Part,Discussion of current/future investment plans is required,No,No,No
Strategy,S2.14d,Strategy,Recommended Disclosure c),Part,Exp. change in performance (revenues and costs),No,No,No
Strategy,S2.15a,Strategy,Recommended Disclosure c),Part,Areas of uncertainty; capacity to adjust/adapt,No,No,No
Strategy,S2.15b,Strategy,Recommended Disclosure b),Part,Details of resilience analysis methodology,No,No,No
Strategy,S2.15b,Strategy,Recommended Disclosure c),Part,Details of resilience analysis methodology,No,No,No
Risk Management,S2.17a,Risk Management,Recommended Disclosure a),Part,Whether processes have changed since prior reporting period,No,No,No
Risk Management,S2.17a,Table 1: Qualitative information on Environmental risk,(l),Yes,0,No,No,No
Risk Management,S2.17b,Risk Management,Recommended Disclosure a),Part,"Input parameters used to identify risks (for example, data sources)",No,No,No
Risk Management,S2.17b,Table 1: Qualitative information on Environmental risk,(n),Part,Whether processes have changed since prior reporting period,No,No,No
Risk Management,S2.17b,Table 1: Qualitative information on Environmental risk,(o),Part,Whether processes have changed since prior reporting period,No,No,No
Risk Management,S2.17b,Table 1: Qualitative information on Environmental risk,(p),Part,Whether processes have changed since prior reporting period,No,No,No
Risk Management,S2.17d,Risk Management,Recommended Disclosure b),Yes,0,No,No,No
Risk Management,S2.17d,Table 1: Qualitative information on Environmental risk,(n),Yes,0,No,No,No
Risk Management,S2.17d,Table 1: Qualitative information on Environmental risk,(o),Yes,0,No,No,No
Risk Management,S2.17e,Risk Management,Recommended Disclosure c),Yes,0,No,No,No
Risk Management,S2.17e,Table 1: Qualitative information on Environmental risk,(j),Yes,0,No,No,No
Metrics and Targets,S2.21a(i),Metrics and Targets,Recommended Disclosure b),Yes,0,No,No,No
Metrics and Targets,S2.21a(i),Metrics and Targets,GHG Emissions,Yes,0,No,No,No
Metrics and Targets,S2.21a(i),Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"EBA P3 requires disclosure of financed emissions only (i.e. Scope 1, 2 and 3 emissions of the counterparty)",No,No,No
Metrics and Targets,S2.21a(ii),Metrics and Targets,Recommended Disclosure b),Yes,0,No,No,No
Metrics and Targets,S2.21a(ii),Metrics and Targets,GHG Emissions,Yes,0,No,No,No
Metrics and Targets,S2.21a(vi),Metrics and Targets,Recommended Disclosure b),Yes,"Disclosure is required, not optional",No,No,No
Metrics and Targets,S2.21a(vi),Metrics and Targets,GHG Emissions,Yes,"Disclosure is required, not optional",No,No,No
Metrics and Targets,S2.21a(vi),Template 1: Banking book - Climate change transition risk: Quality of exposures by sector,i,Part,"Scope 3 emissions are effectively required by EBA P3 under financed emissions. However, these are only required for 'relevant industries' rather than all of the bank's scope 3 emissions.",No,No,No
Metrics and Targets,S2.21b,Metrics and Targets,Transition Risks,Yes,0,No,No,No
Metrics and Targets,S2.21b,Template 6: Summary of KPIs on the Taxonomy-aligned exposures,F,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,a,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,l,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,32,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21b,Template 7: Mitigating actions: Assets for the calculation of GAR,45,Part,"Templates 1-4 relate to transition risk, but specific measure of overall vulnerability to transition risk is not required. [Can we say that any exposures to higher risk industries are vulnerable to transition risk? Or potentially use GAR denominator only assets?]",Yes,No,No
Metrics and Targets,S2.21c,Metrics and Targets,Physical Risks,Yes,0,No,No,No
Metrics and Targets,S2.21c,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,h,Yes,0,No,No,No
Metrics and Targets,S2.21c,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,i,Yes,0,No,No,No
Metrics and Targets,S2.21c,Template 5: Banking book - Climate change physical risk: Exposures subject to physical risk,j,Yes,0,No,No,No
